apprenant_id,prenom,nom,email,genre,age,pays,canal_acquisition,date_inscription,premium
APP0033,Jean,Ouattara,jean.ouattara32@email.com,M,33,Cameroun,Publicite,2024-02-28,1
APP0034,Luc,Diop,luc.diop33@email.com,M,27,Senegal,Partenaire,2022-01-26,1
APP0035,Amadou,Bah,amadou.bah34@email.com,M,47,Burkina Faso,Partenaire,2023-03-14,0
APP0036,Kone,Barry,kone.barry35@email.com,M,22,Cote d'Ivoire,Reseaux sociaux,2022-09-26,0
APP0037,Paul,Cisse,paul.cisse36@email.com,M,34,Cameroun,Publicite,2022-03-22,0
APP0038,Yao,Ndoye,yao.ndoye37@email.com,M,18,Mali,Partenaire,2024-06-30,0
APP0039,Kofi,Cisse,kofi.cisse38@email.com,M,26,Autre,Reseaux sociaux,2024-02-11,0
APP0040,Marie,Ndoye,marie.ndoye39@email.com,F,19,Cote d'Ivoire,Publicite,2024-02-26,1
APP0041,Paul,Mbaye,paul.mbaye40@email.com,M,29,Cameroun,Publicite,2022-06-13,0
APP0042,Adjoua,Cisse,adjoua.cisse41@email.com,F,28,Cote d'Ivoire,Partenaire,2022-12-18,1
APP0043,Laure,Bamba,laure.bamba42@email.com,F,26,,Partenaire,2023-04-26,1
APP0044,Oumar,Traore,oumar.traore43@email.com,M,34,Senegal,Reseaux sociaux,2022-11-16,0
APP0045,Nathalie,Keita,nathalie.keita44@email.com,F,24,France,Reseaux sociaux,2023-02-05,1
APP0046,Awa,Kone,awa.kone45@email.com,F,29,Mali,Organique,2023-01-29,1
APP0047,Ibrahim,Dembele,ibrahim.dembele46@email.com,M,32,Ghana,Reseaux sociaux,2022-08-18,0
APP0048,Jean,Sylla,jean.sylla47@email.com,M,19,Burkina Faso,Reseaux sociaux,2022-06-17,1
APP0049,Marie,Diallo,marie.diallo48@email.com,F,23,Senegal,Organique,2022-06-17,1
APP0050,Seydou,Konaté,seydou.konaté49@email.com,M,28,Cameroun,Publicite,2022-03-09,0
APP0051,Moussa,Dembele,moussa.dembele50@email.com,M,31,Cote d'Ivoire,Organique,2023-11-27,0
APP0052,Moussa,Bah,moussa.bah51@email.com,M,36,Senegal,Partenaire,2024-06-30,0
APP0053,Clarisse,Sylla,clarisse.sylla52@email.com,F,26,Cote d'Ivoire,Organique,2022-10-12,1
APP0054,Fatoumata,Bamba,fatoumata.bamba53@email.com,F,26,Cameroun,Organique,2022-11-01,1
APP0055,Nathalie,Mbaye,nathalie.mbaye54@email.com,F,22,France,Organique,2024-06-30,0
APP0056,Aida,Keita,aida.keita55@email.com,F,29,Cameroun,Reseaux sociaux,2024-01-28,0
APP0057,Seydou,Cisse,seydou.cisse56@email.com,M,26,Burkina Faso,Reseaux sociaux,2023-08-13,0
APP0058,Amadou,Bah,amadou.bah57@email.com,M,26,Cote d'Ivoire,Organique,2022-04-21,1
APP0059,Kone,Barry,kone.barry58@email.com,M,27,Autre,Partenaire,2023-09-03,0
APP0060,Paul,Coulibaly,paul.coulibaly59@email.com,M,31,Senegal,Reseaux sociaux,2022-02-11,0
APP0061,Aminata,Keita,aminata.keita60@email.com,F,24,Cameroun,Organique,2022-04-08,0
APP0062,Eric,Coulibaly,eric.coulibaly61@email.com,M,23,Mali,Organique,2022-11-15,1
APP0063,Luc,Konaté,luc.konaté62@email.com,M,30,Cameroun,Organique,2022-06-06,0
APP0064,Aissatou,Bah,aissatou.bah63@email.com,F,18,Cote d'Ivoire,Organique,2022-08-05,0
APP0065,Fatoumata,Sow,fatoumata.sow64@email.com,F,24,Cameroun,Organique,2022-06-30,0
APP0066,Serge,Bah,serge.bah65@email.com,M,21,Cameroun,Partenaire,2023-04-05,0
APP0067,Oumar,Diallo,oumar.diallo66@email.com,M,35,Burkina Faso,Partenaire,2022-07-07,0
APP0068,Moussa,Mbaye,moussa.mbaye67@email.com,M,25,Senegal,Publicite,2022-08-18,0
APP0069,Thierry,Bah,thierry.bah68@email.com,M,24,Senegal,Partenaire,2024-06-29,1
APP0070,Kone,Ouattara,kone.ouattara69@email.com,M,27,Senegal,Reseaux sociaux,2024-02-29,0
APP0071,Yao,Ndoye,yao.ndoye70@email.com,M,24,Cote d'Ivoire,Organique,2022-01-26,0
APP0072,Cheick,Coulibaly,cheick.coulibaly71@email.com,M,25,Cote d'Ivoire,Organique,2022-05-03,0
APP0073,Rokia,Dembele,rokia.dembele72@email.com,F,28,Cote d'Ivoire,Reseaux sociaux,2024-04-24,0
APP0074,Serge,Sylla,serge.sylla73@email.com,M,25,Cameroun,Organique,2022-01-15,0
APP0075,Yao,Diallo,yao.diallo74@email.com,M,25,Senegal,Organique,2022-04-04,0
APP0076,Seydou,Mbaye,seydou.mbaye75@email.com,M,21,Burkina Faso,Publicite,2023-01-19,0
APP0077,Amadou,Konaté,amadou.konaté76@email.com,M,21,Cameroun,Organique,2022-12-26,0
APP0078,Mariame,Sow,mariame.sow77@email.com,F,28,Cote d'Ivoire,Organique,2022-09-07,1
APP0079,Eric,Traore,eric.traore78@email.com,M,29,Cote d'Ivoire,Publicite,2022-08-18,0
APP0080,Fatoumata,Mbaye,fatoumata.mbaye79@email.com,F,19,Cote d'Ivoire,Organique,2023-04-15,0
APP0081,Aminata,Coulibaly,aminata.coulibaly80@email.com,F,32,Ghana,Reseaux sociaux,2023-06-11,1
APP0082,Cheick,Dembele,cheick.dembele81@email.com,M,32,Cote d'Ivoire,Organique,2023-10-26,0
APP0083,Mariame,Ouattara,mariame.ouattara82@email.com,F,33,Cote d'Ivoire,Reseaux sociaux,2022-10-05,1
APP0084,Paul,Keita,paul.keita83@email.com,M,29,Cote d'Ivoire,Publicite,2022-03-13,0
APP0085,Kone,Sow,kone.sow84@email.com,M,31,Senegal,Partenaire,2022-12-25,1
APP0086,Moussa,Doumbia,moussa.doumbia85@email.com,M,41,Autre,Reseaux sociaux,2023-06-25,1
APP0087,Aida,Ndoye,aida.ndoye86@email.com,F,26,Cameroun,Organique,2024-06-30,0
APP0088,Jean,Bamba,jean.bamba87@email.com,M,21,Senegal,Reseaux sociaux,2022-10-06,1
APP0089,Yao,Doumbia,yao.doumbia88@email.com,M,18,Cote d'Ivoire,Reseaux sociaux,2022-06-22,0
APP0090,Moussa,Toure,moussa.toure89@email.com,M,38,Cote d'Ivoire,Organique,2024-06-17,0
APP0091,Oumar,Ouattara,oumar.ouattara90@email.com,M,38,Senegal,Organique,2022-01-19,0
APP0092,Awa,Ouattara,awa.ouattara91@email.com,F,22,Cote d'Ivoire,Partenaire,2022-07-05,0
APP0093,Luc,Diallo,luc.diallo92@email.com,M,23,Cameroun,Publicite,2023-01-12,0
APP0094,Cheick,Keita,cheick.keita93@email.com,M,26,Autre,Publicite,2022-05-19,1
APP0095,Yao,Sow,yao.sow94@email.com,M,35,Cote d'Ivoire,Partenaire,2024-03-04,1
APP0096,Nathalie,Bah,nathalie.bah95@email.com,F,20,Cote d'Ivoire,Reseaux sociaux,2023-01-18,1
APP0097,Ibrahim,Konaté,ibrahim.konaté96@email.com,M,18,Cote d'Ivoire,Partenaire,2024-06-30,0
APP0098,Seydou,Doumbia,seydou.doumbia97@email.com,M,41,Cameroun,Publicite,2022-08-28,0
APP0099,Seydou,Bah,seydou.bah98@email.com,M,29,Senegal,Organique,2022-03-31,0
APP0100,Mariame,Bamba,mariame.bamba99@email.com,F,30,Cote d'Ivoire,Reseaux sociaux,2024-04-08,0
APP0101,Sophie,Camara,mariame.bamba99@email.com,F,26,Cote d'Ivoire,Organique,2022-09-19,0
APP0102,Awa,Sylla,awa.sylla101@email.com,F,30,Cote d'Ivoire,Publicite,2023-09-14,1
APP0103,Eric,Sylla,eric.sylla102@email.com,M,18,Senegal,Publicite,2022-10-13,1
APP0104,Coumba,Keita,coumba.keita103@email.com,F,22,Cameroun,Partenaire,2022-02-24,0
APP0105,Sophie,Konaté,sophie.konaté104@email.com,F,28,Cote d'Ivoire,Organique,2022-02-21,0
APP0106,Sophie,Barry,sophie.barry105@email.com,F,18,Cote d'Ivoire,Publicite,2022-06-10,0
APP0107,Moussa,Coulibaly,moussa.coulibaly106@email.com,M,26,Senegal,Organique,2022-02-21,0
APP0108,Amadou,Toure,amadou.toure107@email.com,M,25,Cameroun,Organique,2022-01-31,1
APP0109,Cheick,Ndoye,cheick.ndoye108@email.com,M,26,Cote d'Ivoire,Reseaux sociaux,2024-06-30,0
APP0110,Adjoua,Diallo,adjoua.diallo109@email.com,F,24,Cote d'Ivoire,Partenaire,2022-04-13,0
APP0111,Thierry,Konaté,thierry.konaté110@email.com,M,22,Cote d'Ivoire,Publicite,2022-11-22,0
APP0112,Eric,Toure,eric.toure111@email.com,M,18,Cameroun,Organique,2022-01-13,1
APP0113,Jean,Toure,jean.toure112@email.com,M,28,Burkina Faso,Reseaux sociaux,2022-07-30,1
APP0114,Ibrahim,Dembele,ibrahim.dembele113@email.com,M,26,Mali,Reseaux sociaux,2022-04-13,1
APP0115,Luc,Toure,luc.toure114@email.com,M,19,Senegal,Organique,2022-08-09,0
APP0116,Clarisse,Camara,clarisse.camara115@email.com,F,28,Cameroun,Publicite,2024-03-20,0
APP0117,Awa,Dembele,awa.dembele116@email.com,F,26,Cote d'Ivoire,Organique,2022-06-10,0
APP0118,Coumba,Diop,coumba.diop117@email.com,F,25,Cote d'Ivoire,Organique,2023-04-06,1
APP0119,Cheick,Cisse,cheick.cisse118@email.com,M,18,Cote d'Ivoire,Reseaux sociaux,2022-05-08,0
APP0120,Laure,Toure,laure.toure119@email.com,F,32,Cameroun,Partenaire,2023-05-09,1
APP0121,Aissatou,Keita,aissatou.keita120@email.com,F,20,Cameroun,Publicite,2022-03-03,0
APP0122,Mariame,Konaté,mariame.konaté121@email.com,F,28,Autre,Organique,2023-04-25,0
APP0123,Cheick,Ndoye,cheick.ndoye122@email.com,M,23,Autre,Organique,2023-06-17,0
APP0124,Seydou,Diop,seydou.diop123@email.com,M,25,Cote d'Ivoire,Publicite,2022-01-19,0
APP0125,Yao,Mbaye,yao.mbaye124@email.com,M,34,Cote d'Ivoire,Reseaux sociaux,2022-01-14,1
APP0126,Paul,Traore,paul.traore125@email.com,M,31,Cote d'Ivoire,Reseaux sociaux,2023-02-05,1
APP0127,Paul,Traore,paul.traore126@email.com,M,34,Burkina Faso,Organique,2022-06-11,1
APP0128,Kofi,Diop,kofi.diop127@email.com,M,29,Mali,Publicite,2024-03-08,0
APP0129,Jean,Barry,jean.barry128@email.com,M,30,Cote d'Ivoire,Partenaire,2024-06-30,1
APP0130,Aida,Konaté,aida.konaté129@email.com,F,18,Cote d'Ivoire,Organique,2022-11-07,0
APP0131,Kofi,Sow,kofi.sow130@email.com,M,26,Senegal,Organique,2023-01-14,1
APP0132,Marie,Mbaye,marie.mbaye131@email.com,F,26,Cameroun,Organique,2022-05-09,1
APP0133,Nathalie,Cisse,nathalie.cisse132@email.com,F,35,Autre,Organique,2024-06-30,0
APP0134,Oumar,Camara,oumar.camara133@email.com,M,24,Mali,Organique,2023-01-19,0
APP0135,Awa,Keita,awa.keita134@email.com,F,29,Cote d'Ivoire,Organique,2022-10-07,0
APP0136,Moussa,Kone,moussa.kone135@email.com,M,29,Cote d'Ivoire,Organique,2022-09-12,0
APP0137,Mariame,Traore,mariame.traore136@email.com,F,34,Cameroun,Reseaux sociaux,2022-02-05,1
APP0138,Serge,Mbaye,serge.mbaye137@email.com,M,27,Senegal,Reseaux sociaux,2023-03-24,1
APP0139,Rokia,Sow,rokia.sow138@email.com,F,32,Ghana,Reseaux sociaux,2022-03-15,0
APP0140,Serge,Traore,serge.traore139@email.com,M,18,Senegal,Partenaire,2022-03-21,0
APP0141,Eric,Bah,eric.bah140@email.com,M,18,Senegal,Organique,2023-04-17,1
APP0142,Seydou,Diop,seydou.diop141@email.com,M,18,Cote d'Ivoire,Publicite,2022-01-28,0
APP0143,Mariame,Ouattara,mariame.ouattara142@email.com,F,32,Cote d'Ivoire,Publicite,2022-10-23,0
APP0144,Cheick,Ndoye,cheick.ndoye143@email.com,M,32,Burkina Faso,Publicite,2022-12-22,1
APP0145,Luc,Ouattara,luc.ouattara144@email.com,M,33,Mali,Organique,2022-02-03,0
APP0146,Oumar,Cisse,oumar.cisse145@email.com,M,23,Cote d'Ivoire,Organique,2022-05-06,0
APP0147,Serge,Konaté,serge.konaté146@email.com,M,24,Cameroun,Reseaux sociaux,2023-08-16,0
APP0148,Serge,Camara,serge.camara147@email.com,M,27,Cote d'Ivoire,Organique,2022-11-30,0
APP0149,Cheick,Sylla,cheick.sylla148@email.com,M,36,Senegal,Organique,2022-07-05,1
APP0150,Luc,Camara,luc.camara149@email.com,M,38,Burkina Faso,Organique,2022-04-05,1
APP0151,Adjoua,Bah,adjoua.bah150@email.com,F,-2,Burkina Faso,Reseaux sociaux,2022-12-17,1
APP0152,Awa,Keita,awa.keita151@email.com,F,29,Cote d'Ivoire,Partenaire,2022-06-14,1
APP0153,Ibrahim,Toure,ibrahim.toure152@email.com,M,36,Cote d'Ivoire,Organique,2022-09-02,0
APP0154,Jean,Keita,jean.keita153@email.com,M,26,Mali,Publicite,2023-03-08,0
APP0155,Eric,Cisse,eric.cisse154@email.com,M,25,Ghana,Partenaire,2024-02-10,1
APP0156,Aissatou,Camara,aissatou.camara155@email.com,F,27,Cote d'Ivoire,Organique,2024-06-30,0
APP0157,Thierry,Diallo,thierry.diallo156@email.com,M,22,Burkina Faso,Reseaux sociaux,2023-07-15,1
APP0158,Awa,Diallo,awa.diallo157@email.com,F,26,Senegal,Organique,2023-03-20,0
APP0159,Laure,Coulibaly,laure.coulibaly158@email.com,F,21,Senegal,Publicite,2024-06-30,0
APP0160,Rokia,Mbaye,rokia.mbaye159@email.com,F,34,Cote d'Ivoire,Partenaire,2022-05-16,1
APP0161,Oumar,Kone,oumar.kone160@email.com,M,31,Cameroun,Partenaire,2022-10-15,1
APP0162,Coumba,Coulibaly,coumba.coulibaly161@email.com,F,36,Cameroun,Partenaire,2022-09-14,1
APP0163,Amadou,Bamba,amadou.bamba162@email.com,M,18,Cameroun,Organique,2023-02-14,0
APP0164,Oumar,Mbaye,oumar.mbaye163@email.com,M,39,Mali,Publicite,2023-03-27,0
APP0165,Seydou,Mbaye,seydou.mbaye164@email.com,M,18,Ghana,Publicite,2024-06-30,0
APP0166,Jean,Kone,jean.kone165@email.com,M,20,Burkina Faso,Partenaire,2022-03-21,1
APP0167,Adjoua,Ndoye,adjoua.ndoye166@email.com,F,24,Cameroun,Reseaux sociaux,2022-11-16,0
APP0168,Aissatou,Ouattara,aissatou.ouattara167@email.com,F,35,Autre,Organique,2022-07-06,1
APP0169,Luc,Toure,luc.toure168@email.com,M,29,Cameroun,Organique,2022-03-19,0
APP0170,Fatoumata,Sylla,fatoumata.sylla169@email.com,F,26,Cameroun,Organique,2022-03-07,0
APP0171,Paul,Bamba,paul.bamba170@email.com,M,23,Senegal,Reseaux sociaux,2022-06-01,1
APP0172,Kofi,Konaté,kofi.konaté171@email.com,M,19,Mali,Partenaire,2022-06-17,0
APP0173,Yao,Traore,yao.traore172@email.com,M,34,Cote d'Ivoire,Publicite,2024-06-30,1
APP0174,Fatoumata,Sow,fatoumata.sow173@email.com,F,32,Senegal,Organique,2022-07-08,0
APP0175,Ibrahim,Konaté,ibrahim.konaté174@email.com,M,36,Senegal,Organique,2022-12-13,1
APP0176,Cheick,Traore,cheick.traore175@email.com,M,30,Ghana,Organique,2023-03-05,0
APP0177,Ibrahim,Sow,ibrahim.sow176@email.com,M,18,Cote d'Ivoire,Publicite,2023-01-03,0
APP0178,Marie,Bamba,marie.bamba177@email.com,F,20,Cameroun,Partenaire,2022-08-08,1
APP0179,Sophie,Diallo,sophie.diallo178@email.com,F,30,Cote d'Ivoire,Reseaux sociaux,2024-06-30,1
APP0180,Clarisse,Diop,clarisse.diop179@email.com,F,25,Burkina Faso,Reseaux sociaux,2024-04-27,0
APP0181,Rokia,Sylla,rokia.sylla180@email.com,F,24,Burkina Faso,Reseaux sociaux,2022-11-14,0
APP0182,Fatoumata,Dembele,fatoumata.dembele181@email.com,F,21,Cote d'Ivoire,Organique,2022-02-04,0
APP0183,Oumar,Ndoye,oumar.ndoye182@email.com,M,33,Burkina Faso,Organique,2022-08-17,1
APP0184,Oumar,Traore,oumar.traore183@email.com,M,30,Senegal,Organique,2022-06-08,1
APP0185,Rokia,Coulibaly,rokia.coulibaly184@email.com,F,31,France,Organique,2022-10-15,1
APP0186,Bintou,Kone,bintou.kone185@email.com,F,24,Cameroun,Reseaux sociaux,2022-08-25,1
APP0187,Thierry,Ouattara,thierry.ouattara186@email.com,M,29,Cote d'Ivoire,Organique,2022-10-29,0
APP0188,Kone,Cisse,kone.cisse187@email.com,M,19,Cote d'Ivoire,Partenaire,2023-02-19,0
APP0189,Aissatou,Traore,aissatou.traore188@email.com,F,27,Senegal,Reseaux sociaux,2023-03-23,1
APP0190,Yao,Toure,yao.toure189@email.com,M,18,Cote d'Ivoire,Reseaux sociaux,2023-03-01,1
APP0191,Aminata,Keita,aminata.keita190@email.com,F,18,Cote d'Ivoire,Publicite,2023-06-18,1
APP0192,Cheick,Dembele,cheick.dembele191@email.com,M,26,France,Organique,2023-09-29,0
APP0193,Eric,Barry,eric.barry192@email.com,M,42,Burkina Faso,Reseaux sociaux,2022-08-13,1
APP0194,Fatoumata,Mbaye,fatoumata.mbaye193@email.com,F,18,Senegal,Organique,2024-06-30,1
APP0195,Cheick,Kone,cheick.kone194@email.com,M,20,Cote d'Ivoire,Partenaire,2024-06-30,1
APP0196,Serge,Kone,serge.kone195@email.com,M,29,Cote d'Ivoire,Reseaux sociaux,2022-05-20,0
APP0197,Aissatou,Camara,aissatou.camara196@email.com,F,38,Ghana,Organique,2024-06-30,0
APP0198,Marie,Coulibaly,marie.coulibaly197@email.com,F,29,Cote d'Ivoire,Organique,2023-02-28,1
APP0199,Kone,Ndoye,kone.ndoye198@email.com,M,32,Cote d'Ivoire,Partenaire,2023-01-08,1
APP0200,Paul,Toure,paul.toure199@email.com,M,25,Cote d'Ivoire,Partenaire,2022-03-22,0
APP0201,Sophie,Cisse,sophie.cisse200@email.com,F,24,Senegal,Partenaire,2022-12-29,0
APP0202,Nathalie,Traore,nathalie.traore201@email.com,F,28,Cameroun,Reseaux sociaux,2022-08-14,1
APP0203,Moussa,Dembele,moussa.dembele202@email.com,M,24,Cote d'Ivoire,Reseaux sociaux,2024-06-30,1
APP0204,Kone,Diop,kone.diop203@email.com,M,32,Ghana,Reseaux sociaux,2023-11-07,0
APP0205,Oumar,Traore,oumar.traore204@email.com,M,18,Cameroun,Organique,2022-11-11,0
APP0206,Ibrahim,Coulibaly,ibrahim.coulibaly205@email.com,M,33,Autre,Reseaux sociaux,2023-11-05,0
APP0207,Luc,Coulibaly,luc.coulibaly206@email.com,M,28,Cote d'Ivoire,Reseaux sociaux,2022-09-10,0
APP0208,Aminata,Camara,aminata.camara207@email.com,F,26,Cameroun,Partenaire,2022-02-06,0
APP0209,Eric,Sow,eric.sow208@email.com,M,18,Cote d'Ivoire,Reseaux sociaux,2024-06-30,0
APP0210,Serge,Sylla,serge.sylla209@email.com,M,22,Cameroun,Reseaux sociaux,2022-12-26,1
APP0211,Laure,Toure,laure.toure210@email.com,F,35,Cameroun,Publicite,2022-06-08,0
APP0212,Awa,Diop,awa.diop211@email.com,F,26,Cote d'Ivoire,Publicite,2023-05-06,0
APP0213,Thierry,Toure,thierry.toure212@email.com,M,29,Ghana,Organique,2024-04-17,1
APP0214,Marie,Toure,marie.toure213@email.com,F,22,Burkina Faso,Publicite,2023-09-09,0
APP0215,Adjoua,Traore,adjoua.traore214@email.com,F,27,Burkina Faso,Organique,2022-08-07,1
APP0216,Aissatou,Barry,aissatou.barry215@email.com,F,19,Cote d'Ivoire,Publicite,2022-02-08,0
APP0217,Serge,Keita,serge.keita216@email.com,M,28,Cameroun,Organique,2024-04-01,1
APP0218,Moussa,Kone,moussa.kone217@email.com,M,30,Cote d'Ivoire,Reseaux sociaux,2022-10-01,1
APP0219,Aida,Doumbia,aida.doumbia218@email.com,F,29,Cote d'Ivoire,Publicite,2022-01-15,0
APP0220,Cheick,Bamba,cheick.bamba219@email.com,M,22,France,Organique,2022-03-18,1
APP0221,Kone,Mbaye,kone.mbaye220@email.com,M,25,Cote d'Ivoire,Partenaire,2022-01-22,1
APP0222,Yao,Sow,yao.sow221@email.com,M,31,Burkina Faso,Reseaux sociaux,2023-04-10,0
APP0223,Sophie,Ouattara,sophie.ouattara222@email.com,F,26,Senegal,Organique,2024-06-11,1
APP0224,Aissatou,Toure,aissatou.toure223@email.com,F,26,Cote d'Ivoire,Publicite,2023-06-13,0
APP0225,Amadou,Ndoye,amadou.ndoye224@email.com,M,39,Cote d'Ivoire,Reseaux sociaux,2022-04-01,0
APP0226,Mariame,Doumbia,mariame.doumbia225@email.com,F,22,Cameroun,Publicite,2024-06-30,1
APP0227,Ibrahim,Mbaye,ibrahim.mbaye226@email.com,M,34,Cameroun,Publicite,2022-03-23,0
APP0228,Seydou,Ouattara,seydou.ouattara227@email.com,M,21,Senegal,Organique,2024-02-07,0
APP0229,Marie,Traore,marie.traore228@email.com,F,31,Mali,Organique,2022-12-11,0
APP0230,Ibrahim,Coulibaly,ibrahim.coulibaly229@email.com,M,32,Cote d'Ivoire,Organique,2022-01-02,1
APP0231,Thierry,Toure,thierry.toure230@email.com,M,24,Senegal,Reseaux sociaux,2022-04-04,0
APP0232,Paul,Coulibaly,paul.coulibaly231@email.com,M,20,Cote d'Ivoire,Organique,2022-02-15,0
APP0233,Coumba,Keita,coumba.keita232@email.com,F,18,Senegal,Reseaux sociaux,2022-12-15,1
APP0234,Aissatou,Diop,aissatou.diop233@email.com,F,24,Cote d'Ivoire,Partenaire,2023-08-11,1
APP0235,Coumba,Sow,coumba.sow234@email.com,F,31,Senegal,Organique,2023-03-28,0
APP0236,Aminata,Ndoye,aminata.ndoye235@email.com,F,21,Senegal,Partenaire,2024-04-16,1
APP0237,Amadou,Camara,amadou.camara236@email.com,M,28,Senegal,Reseaux sociaux,2023-03-07,0
APP0238,Nathalie,Toure,nathalie.toure237@email.com,F,19,Senegal,Organique,2022-03-22,1
APP0239,Luc,Dembele,luc.dembele238@email.com,M,26,Cameroun,Organique,2023-06-04,0
APP0240,Kofi,Konaté,kofi.konaté239@email.com,M,21,Senegal,Organique,2023-01-04,0
APP0241,Fatoumata,Traore,fatoumata.traore240@email.com,F,27,Cote d'Ivoire,Reseaux sociaux,2022-09-17,1
APP0242,Coumba,Dembele,coumba.dembele241@email.com,F,24,Cote d'Ivoire,Organique,2024-02-26,0
APP0243,Seydou,Bah,seydou.bah242@email.com,M,20,Cameroun,Partenaire,2024-06-30,0
APP0244,Serge,Doumbia,serge.doumbia243@email.com,M,24,Ghana,Partenaire,2022-07-13,0
APP0245,Aida,Doumbia,aida.doumbia244@email.com,F,22,Mali,Organique,2022-10-18,0
APP0246,Marie,Doumbia,marie.doumbia245@email.com,F,20,Cameroun,Publicite,2023-02-11,1
APP0247,Awa,Sylla,awa.sylla246@email.com,F,34,Ghana,Publicite,2023-07-04,0
APP0248,Jean,Kone,jean.kone247@email.com,M,25,Burkina Faso,Organique,2023-06-07,1
APP0249,Kofi,Sylla,kofi.sylla248@email.com,M,18,Senegal,Publicite,2022-02-07,0
APP0250,Jean,Ouattara,jean.ouattara249@email.com,M,24,Cote d'Ivoire,Organique,2022-01-01,1
APP0251,Coumba,Barry,coumba.barry250@email.com,F,33,Cameroun,Partenaire,2023-02-02,1
APP0252,Rokia,Doumbia,rokia.doumbia251@email.com,F,23,Cameroun,Organique,2022-03-06,0
APP0253,Moussa,Barry,moussa.barry252@email.com,M,36,Cote d'Ivoire,Partenaire,2022-06-17,0
APP0254,Moussa,Ouattara,moussa.ouattara253@email.com,M,22,Burkina Faso,Partenaire,2022-12-23,1
APP0255,Eric,Diop,eric.diop254@email.com,M,31,Burkina Faso,Publicite,2022-03-04,0
APP0256,Bintou,Sylla,bintou.sylla255@email.com,F,34,Cote d'Ivoire,Publicite,2023-11-07,0
APP0257,Aida,Diallo,aida.diallo256@email.com,F,30,Senegal,Organique,2022-12-08,1
APP0258,Moussa,Dembele,moussa.dembele257@email.com,M,19,Cote d'Ivoire,Partenaire,2022-01-26,1
