client_id,client_nom,nationalite,client_fidele,nb_sejours,revenu_total,duree_moy,csat_moy,quartile,segment
CLI0670,Jean Diallo,Ivoirien,0,4,2764300.0,4.0,4.3,1,VIP Top 10%
CLI1068,Jean Ndoye,Senegalais,0,6,2748400.0,4.0,3.3,1,VIP Top 10%
CLI2422,Cheick Ndoye,Senegalais,0,8,2737100.0,2.4,4.4,1,VIP Top 10%
CLI2062,Clarisse Camara,Ivoirien,0,5,2733300.0,2.6,4.2,1,VIP Top 10%
CLI0734,Adjoua Ndoye,Autre,0,5,2733040.0,3.0,4.6,1,VIP Top 10%
CLI1982,Ibrahim Diallo,Senegalais,0,6,2732560.0,2.5,4.8,1,VIP Top 10%
CLI0850,Paul Kouassi,Ivoirien,0,4,2732400.0,5.3,4.0,1,VIP Top 10%
CLI0631,Moussa Bamba,Ghaneeen,0,7,2722900.0,3.1,2.9,1,VIP Top 10%
CLI2544,Eric Kouassi,Senegalais,0,5,2722800.0,3.8,3.0,1,VIP Top 10%
CLI1787,Sophie Camara,Senegalais,1,3,2714400.0,3.0,4.7,1,VIP Top 10%
CLI1464,Binta Sow,Britannique,0,6,2712900.0,3.7,4.7,1,VIP Top 10%
CLI1046,Awa Nkomo,Britannique,0,6,2701920.0,2.5,4.2,1,VIP Top 10%
CLI2085,Adjoua Mensah,Camerounais,0,5,2700200.0,4.0,3.4,1,VIP Top 10%
CLI2404,Luc Camara,Senegalais,1,5,2697450.0,2.4,4.2,1,VIP Top 10%
CLI1650,Aida Nkomo,Britannique,1,6,2685600.0,3.7,4.2,1,VIP Top 10%
CLI0721,Paul Bamba,Ghaneeen,0,5,2682300.0,3.0,3.4,1,VIP Top 10%
CLI0467,Binta Traore,Americain,0,3,2668300.0,4.3,3.7,1,VIP Top 10%
CLI1722,Cheick Diallo,Ivoirien,0,10,2665280.0,2.1,4.4,1,VIP Top 10%
CLI1376,Luc Ndoye,Ivoirien,0,5,2659200.0,3.4,3.8,1,VIP Top 10%
CLI0790,Rokia Mensah,Britannique,0,4,2656030.0,3.3,2.8,1,VIP Top 10%
CLI2621,Adjoua Nkomo,Ivoirien,0,4,2640000.0,4.5,3.3,1,VIP Top 10%
CLI2480,Moussa Camara,Autre,1,5,2639600.0,2.6,3.2,1,VIP Top 10%
CLI1558,Cheick Camara,Ghaneeen,1,6,2638840.0,4.3,4.2,1,VIP Top 10%
CLI2344,Awa Kouassi,Ivoirien,0,5,2635700.0,3.6,3.8,1,VIP Top 10%
CLI2457,Binta Mensah,Senegalais,0,8,2628900.0,2.3,3.7,1,VIP Top 10%
CLI2119,Fatou Kouassi,Senegalais,0,5,2627800.0,3.8,4.4,1,VIP Top 10%
CLI2778,Moussa Diallo,Allemand,0,5,2617920.0,2.8,3.6,1,VIP Top 10%
CLI0806,Serge Camara,Camerounais,0,8,2617760.0,2.5,3.5,1,VIP Top 10%
CLI2086,Jean Nkomo,Français,0,6,2613050.0,2.3,4.5,1,VIP Top 10%
CLI2202,Eric Traore,Ivoirien,1,5,2611720.0,2.6,3.6,1,VIP Top 10%
CLI1028,Yao Ndoye,Camerounais,0,5,2608700.0,2.8,3.6,1,VIP Top 10%
CLI0247,Luc Nkomo,Ivoirien,0,4,2606500.0,3.5,4.8,1,VIP Top 10%
CLI2433,Adjoua Camara,Senegalais,0,5,2603250.0,3.4,4.2,1,VIP Top 10%
CLI1709,Paul Diallo,Français,0,7,2601360.0,2.6,4.4,1,VIP Top 10%
CLI0014,Marie Koné,Allemand,1,6,2599340.0,3.0,4.7,1,VIP Top 10%
CLI1465,Yao Koné,Senegalais,0,5,2598850.0,3.2,3.8,1,VIP Top 10%
CLI1148,Aminata Sow,Ivoirien,0,7,2594720.0,3.7,3.9,1,VIP Top 10%
CLI0575,Yao Koné,Ivoirien,0,7,2591600.0,4.4,3.6,1,VIP Top 10%
CLI2882,Moussa Kouassi,Ivoirien,0,5,2586120.0,3.0,4.2,1,VIP Top 10%
CLI2281,Serge Ndoye,Americain,0,8,2582040.0,3.4,3.9,1,VIP Top 10%
CLI1261,Eric Mensah,Senegalais,0,3,2576000.0,4.0,4.3,1,VIP Top 10%
CLI1133,Sophie Diallo,Senegalais,0,6,2575000.0,2.5,4.2,1,VIP Top 10%
CLI2979,Clarisse Mensah,Autre,0,4,2570400.0,4.5,5.0,1,VIP Top 10%
CLI1518,Eric Kouassi,Allemand,1,3,2553000.0,4.0,4.3,1,VIP Top 10%
CLI1010,Binta Nkomo,Français,0,6,2549440.0,3.7,5.0,1,VIP Top 10%
CLI2123,Paul Koné,Senegalais,0,4,2534250.0,3.0,4.0,1,VIP Top 10%
CLI1359,Fatou Camara,Autre,0,5,2533000.0,2.4,4.0,1,VIP Top 10%
CLI0696,Sophie Bamba,Français,1,2,2531250.0,4.5,5.0,1,VIP Top 10%
CLI2333,Yao Ndoye,Autre,0,4,2529880.0,3.0,4.0,1,VIP Top 10%
CLI1535,Kofi Sow,Ivoirien,0,6,2527000.0,4.2,3.8,1,VIP Top 10%
CLI1745,Jean Kouassi,Camerounais,0,5,2510000.0,3.4,4.4,1,VIP Top 10%
CLI0131,Clarisse Mensah,Ivoirien,0,5,2509800.0,3.8,4.0,1,VIP Top 10%
CLI0377,Adjoua Ndoye,Autre,0,4,2501200.0,2.8,3.0,1,VIP Top 10%
CLI2015,Adjoua Camara,Autre,1,8,2497760.0,3.1,4.5,1,VIP Top 10%
CLI2864,Cheick Bamba,Ghaneeen,0,7,2495935.0,3.3,4.7,1,VIP Top 10%
CLI2219,Luc Diallo,Camerounais,1,7,2488520.0,3.4,3.6,1,VIP Top 10%
CLI0064,Binta Diallo,Camerounais,0,6,2486960.0,2.2,3.8,1,VIP Top 10%
CLI2867,Aida Diallo,Americain,0,7,2485000.0,2.1,3.6,1,VIP Top 10%
CLI0588,Adjoua Camara,Autre,0,7,2483900.0,2.9,3.9,1,VIP Top 10%
CLI0461,Aida Sow,Ivoirien,0,6,2483700.0,2.5,4.0,1,VIP Top 10%
CLI1250,Eric Kouassi,Americain,1,3,2480000.0,5.7,4.7,1,VIP Top 10%
CLI2071,Yao Ndoye,Ivoirien,0,5,2473800.0,4.8,4.6,1,VIP Top 10%
CLI1408,Serge Koné,Autre,0,8,2466100.0,2.6,4.3,1,VIP Top 10%
CLI2935,Adjoua Ndoye,Ghaneeen,0,8,2461200.0,1.8,4.3,1,VIP Top 10%
CLI2896,Marie Traore,Camerounais,1,8,2435050.0,2.3,4.4,1,VIP Top 10%
CLI1366,Yao Nkomo,Allemand,0,5,2434120.0,2.8,2.6,1,VIP Top 10%
CLI0635,Marie Traore,Americain,0,4,2423700.0,2.5,4.3,1,VIP Top 10%
CLI1410,Serge Diallo,Français,0,3,2408000.0,3.3,4.0,1,VIP Top 10%
CLI2759,Rokia Kouassi,Français,0,10,2405780.0,2.8,3.6,1,VIP Top 10%
CLI2449,Yao Kouassi,Ivoirien,0,5,2398160.0,4.4,4.2,1,VIP Top 10%
CLI1031,Eric Nkomo,Senegalais,1,5,2391000.0,4.2,3.0,1,VIP Top 10%
CLI0224,Eric Ndoye,Allemand,0,10,2385600.0,2.9,3.6,1,VIP Top 10%
CLI0948,Eric Sow,Autre,1,7,2378500.0,2.7,3.6,1,VIP Top 10%
CLI1728,Luc Bamba,Allemand,1,5,2376400.0,3.6,4.4,1,VIP Top 10%
CLI2380,Awa Camara,Ivoirien,1,7,2373600.0,3.9,4.1,1,VIP Top 10%
CLI1762,Eric Camara,Senegalais,1,6,2373400.0,3.0,4.7,1,VIP Top 10%
CLI0822,Ibrahim Traore,Camerounais,0,5,2371880.0,2.6,4.0,1,VIP Top 10%
CLI2930,Fatou Sow,Autre,1,4,2368800.0,2.8,4.5,1,VIP Top 10%
CLI0092,Binta Bamba,Français,0,4,2367600.0,2.5,3.8,1,VIP Top 10%
CLI1760,Awa Nkomo,Senegalais,0,5,2358400.0,3.0,4.2,1,VIP Top 10%
CLI1286,Adjoua Kouassi,Ivoirien,0,7,2351500.0,3.1,4.6,1,VIP Top 10%
CLI2894,Moussa Sow,Ivoirien,0,5,2350000.0,3.8,4.6,1,VIP Top 10%
CLI0077,Luc Camara,Ivoirien,0,4,2340900.0,5.3,3.8,1,VIP Top 10%
CLI2633,Marie Koné,Ivoirien,0,3,2338880.0,2.7,4.7,1,VIP Top 10%
CLI0430,Kofi Traore,Americain,0,4,2334830.0,2.8,4.3,1,VIP Top 10%
CLI0605,Clarisse Diallo,Ivoirien,0,8,2333580.0,3.0,4.0,1,VIP Top 10%
CLI1253,Kofi Sow,Ivoirien,0,7,2331800.0,3.1,3.4,1,VIP Top 10%
CLI2261,Eric Camara,Ghaneeen,1,7,2328200.0,2.3,3.6,1,VIP Top 10%
CLI1908,Rokia Bamba,Autre,1,3,2327800.0,3.7,4.0,1,VIP Top 10%
CLI1947,Aida Ndoye,Americain,1,7,2325440.0,2.6,3.7,1,VIP Top 10%
CLI1337,Fatou Camara,Senegalais,1,8,2322920.0,2.8,4.3,1,VIP Top 10%
CLI1241,Paul Sow,Senegalais,0,7,2322560.0,3.7,3.3,1,VIP Top 10%
CLI2470,Jean Bamba,Ivoirien,1,8,2322500.0,2.1,4.4,1,VIP Top 10%
CLI1364,Yao Koné,Ivoirien,1,3,2322120.0,3.0,4.7,1,VIP Top 10%
CLI2518,Luc Koné,Senegalais,0,6,2315280.0,3.0,4.8,1,VIP Top 10%
CLI0596,Eric Traore,Camerounais,0,5,2312880.0,3.6,4.2,1,VIP Top 10%
CLI1712,Adjoua Ndoye,Ivoirien,0,5,2307880.0,3.6,3.0,1,VIP Top 10%
CLI0243,Binta Diallo,Camerounais,0,4,2307760.0,2.5,5.0,1,VIP Top 10%
CLI0945,Ibrahim Traore,Ivoirien,0,6,2305400.0,3.3,3.2,1,VIP Top 10%
CLI1483,Ibrahim Nkomo,Britannique,0,6,2304000.0,3.5,4.0,1,VIP Top 10%
CLI1661,Paul Kouassi,Senegalais,0,4,2304000.0,3.0,3.5,1,VIP Top 10%
CLI0322,Fatou Diallo,Allemand,1,5,2301900.0,3.4,4.4,1,VIP Top 10%
CLI2911,Ibrahim Traore,Ghaneeen,0,4,2301420.0,5.0,4.8,1,VIP Top 10%
CLI0236,Eric Diallo,Ghaneeen,0,6,2296720.0,2.5,4.3,1,VIP Top 10%
CLI2539,Fatou Diallo,Senegalais,0,3,2291100.0,3.0,2.3,1,VIP Top 10%
CLI0345,Moussa Sow,Senegalais,1,4,2289200.0,3.0,4.0,1,VIP Top 10%
CLI0993,Ibrahim Ndoye,Autre,0,6,2283400.0,3.5,4.5,1,VIP Top 10%
CLI1587,Ibrahim Kouassi,Americain,0,8,2282640.0,2.5,4.5,1,VIP Top 10%
CLI2328,Kofi Koné,Ivoirien,0,4,2271000.0,3.5,4.5,1,VIP Top 10%
CLI2011,Jean Bamba,Français,1,6,2270320.0,3.0,4.2,1,VIP Top 10%
CLI2662,Aida Traore,Senegalais,0,9,2267500.0,2.3,3.9,1,VIP Top 10%
CLI1124,Cheick Bamba,Ghaneeen,0,9,2265360.0,2.2,4.6,1,VIP Top 10%
CLI0466,Clarisse Kouassi,Allemand,1,9,2257320.0,2.7,4.6,1,VIP Top 10%
CLI1876,Eric Mensah,Ghaneeen,0,7,2254080.0,2.3,3.9,1,VIP Top 10%
CLI0312,Luc Mensah,Senegalais,0,5,2250520.0,3.0,3.0,1,VIP Top 10%
CLI1758,Binta Diallo,Ghaneeen,0,6,2242000.0,3.3,4.7,1,VIP Top 10%
CLI0223,Eric Camara,Americain,0,5,2240780.0,2.6,4.0,1,VIP Top 10%
CLI0141,Yao Diallo,Allemand,0,5,2240580.0,3.8,4.4,1,VIP Top 10%
CLI0723,Kofi Diallo,Ivoirien,0,10,2240320.0,2.8,4.3,1,VIP Top 10%
CLI2988,Moussa Kouassi,Français,0,3,2239680.0,2.7,4.3,1,VIP Top 10%
CLI1582,Yao Diallo,Ivoirien,1,7,2222520.0,2.4,3.6,1,VIP Top 10%
CLI1497,Yao Bamba,Camerounais,0,7,2220840.0,3.0,4.1,1,VIP Top 10%
CLI0197,Binta Camara,Ivoirien,0,3,2220800.0,3.0,3.3,1,VIP Top 10%
CLI0777,Binta Diallo,Ivoirien,1,4,2218700.0,2.3,3.3,1,VIP Top 10%
CLI0285,Clarisse Nkomo,Allemand,0,3,2196480.0,3.7,4.0,1,VIP Top 10%
CLI1057,Moussa Koné,Français,0,8,2190800.0,3.3,3.4,1,VIP Top 10%
CLI0233,Cheick Koné,Americain,0,6,2188900.0,3.8,4.2,1,VIP Top 10%
CLI2089,Binta Traore,Senegalais,1,6,2179080.0,3.8,4.3,1,VIP Top 10%
CLI1975,Aminata Kouassi,Americain,0,6,2177200.0,3.2,4.5,1,VIP Top 10%
CLI2702,Jean Kouassi,Ivoirien,1,6,2167400.0,2.3,4.0,1,VIP Top 10%
CLI0895,Rokia Bamba,Ivoirien,0,8,2164480.0,2.0,4.3,1,VIP Top 10%
CLI1237,Yao Kouassi,Ivoirien,1,4,2158900.0,4.0,3.5,1,VIP Top 10%
CLI1606,Moussa Kouassi,Americain,1,4,2157025.0,3.3,4.5,1,VIP Top 10%
CLI1354,Yao Ndoye,Français,1,6,2154360.0,4.2,3.8,1,VIP Top 10%
CLI2635,Yao Mensah,Ivoirien,0,5,2149500.0,4.0,3.8,1,VIP Top 10%
CLI0629,Aminata Traore,Ghaneeen,1,3,2148250.0,2.3,4.3,1,VIP Top 10%
CLI1643,Kofi Bamba,Ivoirien,0,3,2144550.0,3.0,3.0,1,VIP Top 10%
CLI0976,Serge Mensah,Britannique,1,6,2142470.0,2.2,2.7,1,VIP Top 10%
CLI2901,Luc Traore,Senegalais,0,5,2140200.0,2.2,4.0,1,VIP Top 10%
CLI2906,Sophie Ndoye,Senegalais,0,6,2138760.0,3.0,5.0,1,VIP Top 10%
CLI2949,Serge Kouassi,Ivoirien,1,8,2138720.0,2.5,4.1,1,VIP Top 10%
CLI0732,Marie Koné,Français,0,4,2134800.0,3.5,4.0,1,VIP Top 10%
CLI2970,Aminata Koné,Ghaneeen,1,7,2131720.0,2.6,4.6,1,VIP Top 10%
CLI2018,Awa Koné,Britannique,0,3,2118760.0,3.3,4.0,1,VIP Top 10%
CLI1383,Luc Bamba,Ivoirien,1,4,2116860.0,3.5,3.8,1,VIP Top 10%
CLI2277,Kofi Kouassi,Français,0,7,2115000.0,3.3,4.0,1,VIP Top 10%
CLI0450,Adjoua Bamba,Senegalais,0,6,2109000.0,2.2,4.2,1,VIP Top 10%
CLI0471,Rokia Traore,Britannique,1,4,2107800.0,3.3,4.5,1,VIP Top 10%
CLI0889,Luc Koné,Ivoirien,0,9,2104240.0,2.7,4.3,1,VIP Top 10%
CLI1962,Paul Mensah,Senegalais,0,3,2102000.0,3.0,5.0,1,VIP Top 10%
CLI1874,Adjoua Traore,Autre,0,3,2097840.0,2.7,4.7,1,VIP Top 10%
CLI2439,Rokia Nkomo,Allemand,1,6,2096450.0,2.8,4.0,1,VIP Top 10%
CLI0606,Adjoua Ndoye,Ivoirien,0,7,2093810.0,1.9,4.4,1,VIP Top 10%
CLI1033,Awa Diallo,Ivoirien,0,7,2088940.0,3.9,3.7,1,VIP Top 10%
CLI2914,Marie Mensah,Ivoirien,0,3,2082590.0,2.3,4.3,1,VIP Top 10%
CLI1970,Marie Camara,Americain,0,7,2075400.0,3.4,4.7,1,VIP Top 10%
CLI1154,Luc Bamba,Americain,0,10,2073320.0,2.3,4.1,1,VIP Top 10%
CLI1854,Kofi Bamba,Senegalais,0,7,2070200.0,3.0,3.0,1,VIP Top 10%
CLI1208,Sophie Kouassi,Senegalais,1,4,2069540.0,3.8,3.8,1,VIP Top 10%
CLI0526,Jean Bamba,Ivoirien,0,7,2064400.0,2.6,4.0,1,VIP Top 10%
CLI0328,Cheick Bamba,Ivoirien,0,4,2053500.0,2.5,4.3,1,VIP Top 10%
CLI2145,Kofi Koné,Senegalais,0,4,2052980.0,2.5,4.8,1,VIP Top 10%
CLI0955,Jean Traore,Français,0,6,2051400.0,2.7,4.3,1,VIP Top 10%
CLI0019,Rokia Diallo,Americain,1,8,2050520.0,3.8,4.3,1,VIP Top 10%
CLI2892,Kofi Koné,Ivoirien,1,1,2047500.0,5.0,5.0,1,VIP Top 10%
CLI0041,Yao Nkomo,Ivoirien,0,2,2046000.0,4.0,5.0,1,VIP Top 10%
CLI0059,Marie Diallo,Ivoirien,1,5,2045340.0,2.2,4.2,1,VIP Top 10%
CLI0364,Binta Camara,Ivoirien,0,6,2044650.0,2.8,3.3,1,VIP Top 10%
CLI1683,Paul Traore,Britannique,1,4,2033200.0,2.8,4.8,1,VIP Top 10%
CLI0660,Serge Traore,Autre,0,6,2032090.0,2.8,4.5,1,VIP Top 10%
CLI2669,Cheick Ndoye,Français,0,10,2028700.0,2.5,4.0,1,VIP Top 10%
CLI0152,Marie Bamba,Americain,0,6,2027040.0,3.2,4.2,1,VIP Top 10%
CLI1681,Marie Diallo,Ivoirien,0,7,2023920.0,1.7,3.4,1,VIP Top 10%
CLI1516,Yao Diallo,Americain,0,7,2022960.0,1.9,4.4,1,VIP Top 10%
CLI1255,Rokia Kouassi,Americain,0,6,2022160.0,3.5,3.7,1,VIP Top 10%
CLI2012,Fatou Mensah,Ivoirien,0,3,2015000.0,2.7,4.5,1,VIP Top 10%
CLI1761,Luc Traore,Camerounais,0,1,2012500.0,5.0,5.0,1,VIP Top 10%
CLI0001,Cheick Ndoye,Allemand,0,2,2012500.0,5.0,4.0,1,VIP Top 10%
CLI0053,Serge Sow,Français,0,1,2012500.0,5.0,3.0,1,VIP Top 10%
CLI2347,Serge Mensah,Senegalais,1,3,2012100.0,3.3,3.7,1,VIP Top 10%
CLI2343,Luc Diallo,Ivoirien,0,4,2012000.0,3.0,5.0,1,VIP Top 10%
CLI2994,Aminata Ndoye,Camerounais,0,7,2011810.0,1.6,4.7,1,VIP Top 10%
CLI1864,Cheick Sow,Senegalais,0,4,2010600.0,3.0,4.3,1,VIP Top 10%
CLI0907,Luc Nkomo,Ivoirien,0,6,2008000.0,4.3,3.7,1,VIP Top 10%
CLI0117,Awa Kouassi,Allemand,1,5,2005620.0,3.6,3.2,1,Premium
CLI2846,Moussa Camara,Français,0,4,2003540.0,3.5,4.5,1,Premium
CLI1494,Paul Bamba,Allemand,0,6,2003400.0,2.8,4.2,1,Premium
CLI2121,Eric Koné,Britannique,1,4,2001000.0,3.0,3.5,1,Premium
CLI2834,Binta Nkomo,Ghaneeen,1,3,2000400.0,3.3,4.0,1,Premium
CLI1251,Moussa Camara,Ghaneeen,0,6,1999680.0,3.0,4.5,1,Premium
CLI1361,Binta Diallo,Autre,0,3,1998120.0,4.0,4.7,1,Premium
CLI0432,Clarisse Sow,Autre,0,8,1996560.0,3.0,3.8,1,Premium
CLI0106,Rokia Ndoye,Camerounais,0,8,1992900.0,2.4,3.3,1,Premium
