client_id,prenom,nom,email,nationalite,genre,age,telephone,client_fidele,nb_sejours_total
CLI0046,Cheick,Camara,cheick.camara45@mail.com,Ghaneeen,M,63,+225 07 93 14 76,1,3
CLI0047,Serge,Koné,serge.koné46@mail.com,Britannique,M,34,+225 07 27 63 10,0,14
CLI0048,Clarisse,Mensah,clarisse.mensah47@mail.com,Ivoirien,F,48,+225 07 49 68 59,1,6
CLI0049,Fatou,Kouassi,fatou.kouassi48@mail.com,Ivoirien,F,34,+225 07 69 40 14,0,5
CLI0050,Awa,Koné,awa.koné49@mail.com,Senegalais,F,23,+225 07 74 57 50,0,13
CLI0051,Clarisse,Traore,clarisse.traore50@mail.com,Senegalais,F,59,+225 07 64 28 70,1,3
CLI0052,Aminata,Koné,aminata.koné51@mail.com,Allemand,F,55,+225 07 20 88 19,0,14
CLI0053,Serge,Sow,serge.sow52@mail.com,Français,M,35,+225 07 40 76 77,0,14
CLI0054,Luc,Koné,luc.koné53@mail.com,Camerounais,M,34,+225 07 71 25 84,0,3
CLI0055,Jean,Diallo,jean.diallo54@mail.com,Camerounais,M,40,+225 07 25 67 11,1,5
CLI0056,Serge,Bamba,serge.bamba55@mail.com,Allemand,M,68,+225 07 23 16 76,0,2
CLI0057,Clarisse,Kouassi,clarisse.kouassi56@mail.com,Senegalais,F,65,+225 07 31 22 95,0,5
CLI0058,Luc,Traore,luc.traore57@mail.com,Ivoirien,M,42,+225 07 61 49 31,1,6
CLI0059,Marie,Diallo,marie.diallo58@mail.com,Ivoirien,F,38,+225 07 36 16 20,1,5
CLI0060,Sophie,Sow,sophie.sow59@mail.com,Senegalais,F,50,+225 07 87 18 48,0,2
CLI0061,Ibrahim,Traore,ibrahim.traore60@mail.com,Ghaneeen,M,61,+225 07 49 93 22,1,5
CLI0062,Awa,Traore,awa.traore61@mail.com,Camerounais,F,31,+225 07 18 30 96,0,12
CLI0063,Eric,Kouassi,eric.kouassi62@mail.com,Senegalais,M,32,+225 07 46 39 46,0,9
CLI0064,Binta,Diallo,binta.diallo63@mail.com,Camerounais,F,53,+225 07 74 26 45,0,2
CLI0065,Cheick,Traore,cheick.traore64@mail.com,Autre,M,53,+225 07 60 34 22,0,2
CLI0066,Luc,Bamba,luc.bamba65@mail.com,Autre,M,37,+225 07 90 33 97,0,7
CLI0067,Luc,Mensah,luc.mensah66@mail.com,Ivoirien,M,24,+225 07 55 47 27,1,10
CLI0068,Serge,Nkomo,serge.nkomo67@mail.com,Ivoirien,M,63,+225 07 18 52 68,0,1
CLI0069,Yao,Sow,yao.sow68@mail.com,Ivoirien,M,23,+225 07 81 49 76,0,14
CLI0070,Aida,Sow,aida.sow69@mail.com,Britannique,F,52,+225 07 41 47 83,1,6
CLI0071,Clarisse,Diallo,clarisse.diallo70@mail.com,Camerounais,F,71,+225 07 67 39 62,1,13
CLI0072,Moussa,Traore,moussa.traore71@mail.com,Allemand,M,66,+225 07 84 42 32,0,1
CLI0073,Jean,Nkomo,jean.nkomo72@mail.com,Ghaneeen,M,66,+225 07 87 21 91,0,7
CLI0074,Eric,Diallo,eric.diallo73@mail.com,Camerounais,M,69,+225 07 68 87 63,0,12
CLI0075,Luc,Mensah,luc.mensah74@mail.com,Ivoirien,M,42,+225 07 43 97 77,0,14
CLI0076,Adjoua,Mensah,adjoua.mensah75@mail.com,Senegalais,F,57,+225 07 76 25 60,0,11
CLI0077,Luc,Camara,luc.camara76@mail.com,Ivoirien,M,38,+225 07 36 96 97,0,14
CLI0078,Yao,Bamba,yao.bamba77@mail.com,Camerounais,M,31,+225 07 79 19 25,0,11
CLI0079,Yao,Camara,yao.camara78@mail.com,Ivoirien,M,64,+225 07 37 54 64,0,9
CLI0080,Serge,Kouassi,serge.kouassi79@mail.com,Ivoirien,M,44,+225 07 58 86 45,0,10
CLI0081,Paul,Camara,paul.camara80@mail.com,Ivoirien,M,71,+225 07 61 35 98,1,5
CLI0082,Aminata,Bamba,aminata.bamba81@mail.com,Americain,F,35,+225 07 84 18 75,0,8
CLI0083,Rokia,Camara,rokia.camara82@mail.com,Autre,F,59,+225 07 74 57 39,1,6
CLI0084,Clarisse,Traore,clarisse.traore83@mail.com,Camerounais,F,53,+225 07 13 98 62,1,5
CLI0085,Marie,Ndoye,marie.ndoye84@mail.com,Camerounais,F,69,+225 07 35 43 47,0,14
CLI0086,Luc,Camara,luc.camara85@mail.com,Autre,M,39,+225 07 35 66 71,0,5
CLI0087,Adjoua,Diallo,adjoua.diallo86@mail.com,Camerounais,F,49,+225 07 13 17 91,0,11
CLI0088,Clarisse,Bamba,clarisse.bamba87@mail.com,Ghaneeen,F,38,+225 07 54 17 80,0,9
CLI0089,Aida,Koné,aida.koné88@mail.com,Senegalais,F,39,+225 07 13 40 22,1,13
CLI0090,Clarisse,Sow,clarisse.sow89@mail.com,Camerounais,F,52,+225 07 32 91 78,0,7
CLI0091,Aida,Kouassi,aida.kouassi90@mail.com,Camerounais,F,51,+225 07 78 33 76,1,7
CLI0092,Binta,Bamba,binta.bamba91@mail.com,Français,F,30,+225 07 46 41 34,0,11
CLI0093,Eric,Diallo,eric.diallo92@mail.com,Ghaneeen,M,58,+225 07 69 33 83,0,13
CLI0094,Awa,Mensah,awa.mensah93@mail.com,Camerounais,F,38,+225 07 72 13 64,0,13
CLI0095,Kofi,Nkomo,kofi.nkomo94@mail.com,Ivoirien,M,64,+225 07 36 43 16,0,11
CLI0096,Cheick,Mensah,cheick.mensah95@mail.com,Autre,M,59,+225 07 21 69 77,0,3
CLI0097,Adjoua,Traore,adjoua.traore96@mail.com,Allemand,F,42,+225 07 77 57 68,0,11
CLI0098,Fatou,Nkomo,fatou.nkomo97@mail.com,Ivoirien,F,67,+225 07 36 92 65,0,9
CLI0099,Adjoua,Diallo,adjoua.diallo98@mail.com,Ivoirien,F,54,+225 07 42 35 82,0,1
CLI0100,Serge,Diallo,serge.diallo99@mail.com,Autre,M,25,+225 07 85 22 80,0,13
CLI0101,Rokia,Traore,rokia.traore100@mail.com,Senegalais,F,43,+225 07 94 31 48,0,1
CLI0102,Awa,Kouassi,awa.kouassi101@mail.com,Britannique,F,63,+225 07 12 38 63,0,3
CLI0103,Moussa,Camara,moussa.camara102@mail.com,Americain,M,63,+225 07 12 62 63,0,8
CLI0104,Luc,Kouassi,luc.kouassi103@mail.com,Allemand,M,56,+225 07 36 32 75,1,11
CLI0105,Luc,Diallo,luc.diallo104@mail.com,Ivoirien,M,51,+225 07 83 27 29,0,13
CLI0106,Rokia,Ndoye,rokia.ndoye105@mail.com,Camerounais,F,61,+225 07 94 26 34,0,4
CLI0107,Kofi,Diallo,kofi.diallo106@mail.com,Camerounais,M,55,+225 07 17 27 26,0,5
CLI0108,Fatou,Traore,fatou.traore107@mail.com,Britannique,F,68,+225 07 28 60 48,0,6
CLI0109,Eric,Koné,eric.koné108@mail.com,Ivoirien,M,22,+225 07 51 20 48,0,5
CLI0110,Adjoua,Koné,adjoua.koné109@mail.com,Senegalais,F,37,+225 07 36 38 43,1,10
CLI0111,Serge,Bamba,serge.bamba110@mail.com,Ivoirien,M,47,+225 07 70 33 27,0,11
CLI0112,Adjoua,Mensah,adjoua.mensah111@mail.com,Americain,F,29,+225 07 20 59 44,0,11
CLI0113,Eric,Camara,eric.camara112@mail.com,Autre,M,29,+225 07 24 77 30,0,13
CLI0114,Yao,Kouassi,yao.kouassi113@mail.com,Ivoirien,M,35,+225 07 19 78 71,1,5
CLI0115,Clarisse,Koné,clarisse.koné114@mail.com,Ivoirien,F,57,+225 07 74 36 51,1,2
CLI0116,Rokia,Camara,rokia.camara115@mail.com,Senegalais,F,69,+225 07 50 23 13,0,5
CLI0117,Awa,Kouassi,awa.kouassi116@mail.com,Allemand,F,71,+225 07 53 77 79,1,13
CLI0118,Cheick,Mensah,cheick.mensah117@mail.com,Senegalais,M,68,+225 07 21 67 92,0,14
CLI0119,Paul,Diallo,paul.diallo118@mail.com,Ivoirien,M,54,+225 07 92 23 63,0,1
CLI0120,Serge,Traore,serge.traore119@mail.com,Senegalais,M,44,+225 07 82 68 38,0,6
CLI0121,Cheick,Sow,cheick.sow120@mail.com,Ghaneeen,M,35,+225 07 18 55 83,1,1
CLI0122,Clarisse,Sow,clarisse.sow121@mail.com,Senegalais,F,69,+225 07 77 23 16,0,2
CLI0123,Clarisse,Camara,clarisse.camara122@mail.com,Ivoirien,F,29,+225 07 82 10 75,0,7
CLI0124,Rokia,Ndoye,rokia.ndoye123@mail.com,Britannique,F,35,+225 07 31 83 45,0,5
CLI0125,Aida,Ndoye,aida.ndoye124@mail.com,Senegalais,F,55,+225 07 49 15 10,0,8
CLI0126,Aida,Nkomo,aida.nkomo125@mail.com,Ivoirien,F,59,+225 07 89 25 95,0,14
CLI0127,Aida,Nkomo,aida.nkomo126@mail.com,Français,F,30,+225 07 25 11 67,1,2
CLI0128,Moussa,Nkomo,moussa.nkomo127@mail.com,Français,M,25,+225 07 67 70 66,1,2
CLI0129,Jean,Sow,jean.sow128@mail.com,Ivoirien,M,59,+225 07 75 36 14,0,3
CLI0130,Adjoua,Diallo,adjoua.diallo129@mail.com,Ivoirien,F,61,+225 07 51 22 93,1,8
CLI0131,Clarisse,Mensah,clarisse.mensah130@mail.com,Ivoirien,F,40,+225 07 66 67 15,0,12
CLI0132,Jean,Camara,jean.camara131@mail.com,Americain,M,32,+225 07 91 70 15,1,2
CLI0133,Cheick,Koné,cheick.koné132@mail.com,Ghaneeen,M,26,+225 07 50 56 61,0,11
CLI0134,Marie,Ndoye,marie.ndoye133@mail.com,Americain,F,23,+225 07 17 10 45,0,5
CLI0135,Moussa,Bamba,moussa.bamba134@mail.com,Ghaneeen,M,23,+225 07 88 33 91,0,12
CLI0136,Moussa,Kouassi,moussa.kouassi135@mail.com,Senegalais,M,29,+225 07 65 46 65,0,11
CLI0137,Rokia,Mensah,rokia.mensah136@mail.com,Ghaneeen,F,67,+225 07 69 88 31,0,7
CLI0138,Aida,Traore,aida.traore137@mail.com,Français,F,65,+225 07 41 32 91,0,14
CLI0139,Yao,Mensah,yao.mensah138@mail.com,Senegalais,M,33,+225 07 12 59 32,1,9
CLI0140,Awa,Camara,awa.camara139@mail.com,Autre,F,47,+225 07 64 20 51,0,9
CLI0141,Yao,Diallo,yao.diallo140@mail.com,Allemand,M,48,+225 07 42 12 24,0,13
CLI0142,Aida,Nkomo,aida.nkomo141@mail.com,Americain,F,61,+225 07 24 62 50,0,2
CLI0143,Jean,Koné,jean.koné142@mail.com,Autre,M,26,+225 07 51 75 39,1,3
CLI0144,Moussa,Bamba,moussa.bamba143@mail.com,Senegalais,M,71,+225 07 65 25 52,1,3
CLI0145,Eric,Sow,eric.sow144@mail.com,Ivoirien,M,52,+225 07 60 66 49,1,4
CLI0146,Moussa,Diallo,moussa.diallo145@mail.com,Camerounais,M,43,+225 07 50 69 14,0,4
CLI0147,Clarisse,Mensah,clarisse.mensah146@mail.com,Français,F,68,+225 07 37 22 27,0,13
CLI0148,Ibrahim,Sow,ibrahim.sow147@mail.com,Americain,M,62,+225 07 74 40 52,0,12
CLI0149,Eric,Kouassi,eric.kouassi148@mail.com,Senegalais,M,63,+225 07 40 46 84,0,7
CLI0150,Kofi,Nkomo,kofi.nkomo149@mail.com,Ivoirien,M,36,+225 07 29 63 52,1,6
CLI0151,Awa,Diallo,awa.diallo150@mail.com,Senegalais,F,26,+225 07 95 69 58,0,7
CLI0152,Marie,Bamba,marie.bamba151@mail.com,Americain,F,51,+225 07 13 59 61,0,5
CLI0153,Aida,Diallo,aida.diallo152@mail.com,Ivoirien,F,57,+225 07 65 78 69,0,13
CLI0154,Kofi,Nkomo,kofi.nkomo153@mail.com,Senegalais,M,36,+225 07 96 15 39,1,5
CLI0155,Kofi,Camara,kofi.camara154@mail.com,Ivoirien,M,33,+225 07 68 35 88,0,8
CLI0156,Cheick,Bamba,cheick.bamba155@mail.com,Americain,M,38,+225 07 40 69 36,0,3
CLI0157,Eric,Bamba,eric.bamba156@mail.com,Camerounais,M,34,+225 07 42 65 19,1,13
CLI0158,Marie,Nkomo,marie.nkomo157@mail.com,Ivoirien,F,68,+225 07 77 31 64,1,10
CLI0159,Rokia,Diallo,rokia.diallo158@mail.com,Ivoirien,F,58,+225 07 27 60 88,1,12
CLI0160,Jean,Ndoye,jean.ndoye159@mail.com,Ivoirien,M,22,+225 07 70 54 40,0,13
CLI0161,Kofi,Camara,kofi.camara160@mail.com,Camerounais,M,22,+225 07 21 19 97,0,4
CLI0162,Binta,Kouassi,binta.kouassi161@mail.com,Autre,F,64,+225 07 74 76 51,0,10
CLI0163,Eric,Traore,eric.traore162@mail.com,Camerounais,M,51,+225 07 38 94 73,0,7
CLI0164,Luc,Camara,luc.camara163@mail.com,Allemand,M,69,+225 07 28 60 16,0,5
CLI0165,Luc,Traore,luc.traore164@mail.com,Français,M,69,+225 07 64 46 47,0,4
CLI0166,Luc,Kouassi,luc.kouassi165@mail.com,Allemand,M,51,+225 07 61 10 91,0,8
CLI0167,Paul,Bamba,paul.bamba166@mail.com,Senegalais,M,55,+225 07 91 13 46,0,8
CLI0168,Ibrahim,Mensah,ibrahim.mensah167@mail.com,Autre,M,45,+225 07 97 57 46,0,1
CLI0169,Kofi,Nkomo,kofi.nkomo168@mail.com,Ivoirien,M,44,+225 07 91 57 58,0,1
CLI0170,Aida,Bamba,aida.bamba169@mail.com,Senegalais,F,24,+225 07 52 63 59,0,7
CLI0171,Luc,Bamba,luc.bamba170@mail.com,Français,M,52,+225 07 14 50 73,0,13
CLI0172,Jean,Nkomo,jean.nkomo171@mail.com,Ivoirien,M,54,+225 07 48 65 87,0,4
CLI0173,Fatou,Sow,fatou.sow172@mail.com,Ivoirien,F,26,+225 07 84 96 63,1,9
CLI0174,Sophie,Nkomo,sophie.nkomo173@mail.com,Ivoirien,F,44,+225 07 34 37 58,0,9
CLI0175,Luc,Koné,luc.koné174@mail.com,Ivoirien,M,68,+225 07 10 88 64,0,9
CLI0176,Jean,Mensah,jean.mensah175@mail.com,Camerounais,M,60,+225 07 17 15 67,0,5
CLI0177,Binta,Kouassi,binta.kouassi176@mail.com,Autre,F,58,+225 07 25 96 47,1,13
CLI0178,Kofi,Diallo,kofi.diallo177@mail.com,Ivoirien,M,27,+225 07 47 69 55,0,4
CLI0179,Ibrahim,Diallo,ibrahim.diallo178@mail.com,Senegalais,M,46,+225 07 14 26 60,0,2
CLI0180,Marie,Traore,marie.traore179@mail.com,Autre,F,61,+225 07 66 79 14,0,6
CLI0181,Yao,Ndoye,yao.ndoye180@mail.com,Americain,M,63,+225 07 30 78 61,1,14
CLI0182,Aida,Camara,aida.camara181@mail.com,Ivoirien,F,43,+225 07 34 26 97,0,13
CLI0183,Jean,Koné,jean.koné182@mail.com,Camerounais,M,58,+225 07 62 26 42,0,14
CLI0184,Adjoua,Sow,adjoua.sow183@mail.com,Ivoirien,F,32,+225 07 72 91 80,1,12
CLI0185,Jean,Ndoye,jean.ndoye184@mail.com,Ivoirien,M,61,+225 07 76 76 47,1,5
CLI0186,Cheick,Mensah,cheick.mensah185@mail.com,Ivoirien,M,48,+225 07 21 21 14,0,3
CLI0187,Serge,Camara,serge.camara186@mail.com,Ghaneeen,M,69,+225 07 32 63 89,0,10
CLI0188,Yao,Ndoye,yao.ndoye187@mail.com,Ivoirien,M,63,+225 07 96 64 61,0,13
CLI0189,Binta,Camara,binta.camara188@mail.com,Ivoirien,F,53,+225 07 58 30 55,0,9
CLI0190,Yao,Ndoye,yao.ndoye189@mail.com,Ivoirien,M,30,+225 07 97 61 35,0,11
CLI0191,Moussa,Bamba,moussa.bamba190@mail.com,Senegalais,M,63,+225 07 87 56 43,1,11
CLI0192,Awa,Koné,awa.koné191@mail.com,Ghaneeen,F,51,+225 07 86 47 84,1,1
CLI0193,Sophie,Sow,sophie.sow192@mail.com,Senegalais,F,54,+225 07 27 95 78,0,4
CLI0194,Luc,Bamba,luc.bamba193@mail.com,Senegalais,M,49,+225 07 17 19 31,0,8
CLI0195,Luc,Nkomo,luc.nkomo194@mail.com,Camerounais,M,30,+225 07 76 10 35,1,9
CLI0196,Aida,Diallo,aida.diallo195@mail.com,Ghaneeen,F,67,+225 07 69 86 62,0,1
CLI0197,Binta,Camara,binta.camara196@mail.com,Ivoirien,F,24,+225 07 18 84 15,0,10
CLI0198,Sophie,Mensah,sophie.mensah197@mail.com,Allemand,F,48,+225 07 17 46 81,0,13
CLI0199,Aida,Ndoye,aida.ndoye198@mail.com,Autre,F,60,+225 07 15 65 64,0,13
CLI0200,Binta,Koné,binta.koné199@mail.com,Ghaneeen,F,49,+225 07 38 97 95,1,10
CLI0201,Yao,Ndoye,binta.koné199@mail.com,Ghaneeen,M,42,+225 07 27 55 83,0,2
CLI0202,Kofi,Koné,kofi.koné201@mail.com,Français,M,26,+225 07 96 18 75,1,11
CLI0203,Yao,Koné,yao.koné202@mail.com,Senegalais,M,37,+225 07 16 69 89,0,11
CLI0204,Fatou,Kouassi,fatou.kouassi203@mail.com,Senegalais,F,66,+225 07 78 67 98,0,5
CLI0205,Adjoua,Diallo,adjoua.diallo204@mail.com,Senegalais,F,37,+225 07 36 23 34,0,2
CLI0206,Moussa,Bamba,moussa.bamba205@mail.com,Ivoirien,M,56,+225 07 78 89 76,0,3
CLI0207,Eric,Kouassi,eric.kouassi206@mail.com,Britannique,M,67,+225 07 64 95 69,0,3
CLI0208,Jean,Kouassi,jean.kouassi207@mail.com,Senegalais,M,41,+225 07 31 74 12,0,9
CLI0209,Marie,Sow,marie.sow208@mail.com,Ivoirien,F,37,+225 07 89 42 70,1,1
CLI0210,Moussa,Sow,moussa.sow209@mail.com,Autre,M,31,+225 07 93 94 46,0,14
CLI0211,Ibrahim,Kouassi,ibrahim.kouassi210@mail.com,Camerounais,M,33,+225 07 13 77 44,0,5
CLI0212,Cheick,Mensah,cheick.mensah211@mail.com,Ghaneeen,M,59,+225 07 27 17 38,1,9
CLI0213,Jean,Camara,jean.camara212@mail.com,Ivoirien,M,59,+225 07 53 48 31,1,10
CLI0214,Ibrahim,Diallo,ibrahim.diallo213@mail.com,Ivoirien,M,26,+225 07 31 91 40,0,11
CLI0215,Kofi,Camara,kofi.camara214@mail.com,Français,M,63,+225 07 51 70 46,0,12
CLI0216,Serge,Sow,serge.sow215@mail.com,Camerounais,M,52,+225 07 67 41 84,0,11
CLI0217,Luc,Kouassi,luc.kouassi216@mail.com,Ivoirien,M,29,+225 07 87 84 31,0,5
CLI0218,Yao,Koné,yao.koné217@mail.com,Britannique,M,33,+225 07 42 13 71,0,10
CLI0219,Luc,Nkomo,luc.nkomo218@mail.com,Senegalais,M,40,+225 07 74 87 17,0,13
CLI0220,Eric,Traore,eric.traore219@mail.com,Ghaneeen,M,71,+225 07 26 51 21,1,13
CLI0221,Aminata,Diallo,aminata.diallo220@mail.com,Senegalais,F,26,+225 07 75 82 88,0,12
CLI0222,Moussa,Diallo,moussa.diallo221@mail.com,Camerounais,M,62,+225 07 98 51 77,0,12
CLI0223,Eric,Camara,eric.camara222@mail.com,Americain,M,38,+225 07 21 25 20,0,2
CLI0224,Eric,Ndoye,eric.ndoye223@mail.com,Allemand,M,53,+225 07 68 56 63,0,13
CLI0225,Luc,Camara,luc.camara224@mail.com,Ivoirien,M,50,+225 07 45 89 46,0,10
CLI0226,Jean,Ndoye,jean.ndoye225@mail.com,Français,M,60,+225 07 75 60 64,0,8
CLI0227,Moussa,Traore,moussa.traore226@mail.com,Autre,M,65,+225 07 72 78 83,1,5
CLI0228,Aida,Nkomo,aida.nkomo227@mail.com,Ghaneeen,F,59,+225 07 82 55 79,0,2
CLI0229,Yao,Ndoye,yao.ndoye228@mail.com,Ivoirien,M,47,+225 07 73 53 56,0,4
CLI0230,Moussa,Bamba,moussa.bamba229@mail.com,Ivoirien,M,37,+225 07 47 27 39,0,5
CLI0231,Serge,Mensah,serge.mensah230@mail.com,Ivoirien,M,47,+225 07 71 36 85,0,2
CLI0232,Jean,Koné,jean.koné231@mail.com,Ivoirien,M,30,+225 07 50 42 54,0,3
CLI0233,Cheick,Koné,cheick.koné232@mail.com,Americain,M,58,+225 07 32 40 56,0,6
CLI0234,Adjoua,Ndoye,adjoua.ndoye233@mail.com,Autre,F,55,+225 07 88 36 83,0,5
CLI0235,Marie,Camara,marie.camara234@mail.com,Camerounais,F,53,+225 07 58 30 18,0,13
CLI0236,Eric,Diallo,eric.diallo235@mail.com,Ghaneeen,M,47,+225 07 88 52 16,0,3
CLI0237,Ibrahim,Camara,ibrahim.camara236@mail.com,Americain,M,68,+225 07 39 64 34,0,3
CLI0238,Jean,Kouassi,jean.kouassi237@mail.com,Senegalais,M,45,+225 07 19 89 72,1,14
CLI0239,Kofi,Kouassi,kofi.kouassi238@mail.com,Camerounais,M,57,+225 07 18 95 79,0,12
CLI0240,Marie,Koné,marie.koné239@mail.com,Ghaneeen,F,65,+225 07 18 12 95,1,4
CLI0241,Eric,Koné,eric.koné240@mail.com,Senegalais,M,53,+225 07 83 84 61,0,7
CLI0242,Yao,Koné,yao.koné241@mail.com,Ivoirien,M,49,+225 07 93 32 51,1,9
CLI0243,Binta,Diallo,binta.diallo242@mail.com,Camerounais,F,36,+225 07 67 71 75,0,9
CLI0244,Eric,Diallo,eric.diallo243@mail.com,Britannique,M,38,+225 07 42 83 51,1,11
CLI0245,Luc,Koné,luc.koné244@mail.com,Ivoirien,M,32,+225 07 27 64 66,0,9
CLI0246,Fatou,Diallo,fatou.diallo245@mail.com,Ivoirien,F,27,+225 07 52 23 16,0,3
CLI0247,Luc,Nkomo,luc.nkomo246@mail.com,Ivoirien,M,49,+225 07 64 49 25,0,14
CLI0248,Eric,Ndoye,eric.ndoye247@mail.com,Americain,M,36,+225 07 28 37 29,0,4
CLI0249,Serge,Traore,serge.traore248@mail.com,Camerounais,M,57,+225 07 95 41 53,1,6
CLI0250,Aida,Camara,aida.camara249@mail.com,Camerounais,F,35,+225 07 52 24 76,1,12
CLI0251,Cheick,Nkomo,cheick.nkomo250@mail.com,Ghaneeen,M,27,+225 07 96 85 62,0,8
CLI0252,Cheick,Camara,cheick.camara251@mail.com,Ivoirien,M,64,+225 07 57 12 72,1,11
CLI0253,Luc,Bamba,luc.bamba252@mail.com,Français,M,29,+225 07 84 49 57,1,3
CLI0254,Luc,Koné,luc.koné253@mail.com,Ivoirien,M,63,+225 07 58 12 72,0,2
CLI0255,Fatou,Koné,fatou.koné254@mail.com,Ivoirien,F,63,+225 07 51 33 88,0,2
CLI0256,Yao,Bamba,yao.bamba255@mail.com,Britannique,M,53,+225 07 61 36 78,0,2
CLI0257,Kofi,Mensah,kofi.mensah256@mail.com,Ghaneeen,M,50,+225 07 19 59 57,0,9
CLI0258,Serge,Kouassi,serge.kouassi257@mail.com,Ivoirien,M,35,+225 07 59 62 67,0,12
