id_client,nom,prenom,sexe,age,ville,code_offre,date_souscription,date_resiliation,statut
CL00077,MARIE,Lucie,F,21,Bouake,SENIOR,2023-10-15,2025-09-02,resilie
CL00078,GAY,Édouard,M,36,Abidjan,CONNECT,2024-11-05,,actif
CL00079,DE SOUSA,Adélaïde,F,39,Bouake,PREMIUM,2022-05-07,,actif
CL00080,MACE,Julie,F,41,Abidjan,PULSE,2023-01-26,2024-03-10,resilie
CL00081,CHARRIER,Dorothée,F,41,San-Pedro,ETUDIANT,2024-04-16,2025-03-24,resilie
CL00082,GUILLOU,Catherine,F,41,Abidjan,CONNECT,2025-07-02,2025-12-23,resilie
CL00083,TOUSSAINT,Henri,M,41,Bouake,PRO,2023-06-29,,actif
CL00084,RIOU,Philippe,M,49,San-Pedro,CONNECT,2023-05-14,,actif
CL00085,RAYNAUD,Élodie,F,23,Bouake,PULSE,2025-08-24,2025-12-12,resilie
CL00086,BRUNET,Michelle,F,30,Abidjan,CONNECT,2022-01-30,,actif
CL00087,LEDOUX,Corinne,F,43,Abidjan,PULSE,2022-06-10,,actif
CL00088,GIMENEZ,Rémy,M,18,Yamoussoukro,CONNECT,2022-10-09,,actif
CL00089,MARTIN,Margot,F,34,Yamoussoukro,PULSE,2023-05-26,,actif
CL00090,CAMUS,Agnès,F,18,Bouake,PULSE,2024-06-26,,actif
CL00091,MARIE,Jules,M,34,Abidjan,PREMIUM,2025-06-16,,actif
CL00092,LE GALL,Isabelle,F,24,Bouake,SENIOR,2025-02-19,,actif
CL00093,BOYER,Isabelle,F,18,Yamoussoukro,PULSE,2022-10-13,2024-04-19,resilie
CL00094,DUHAMEL,Audrey,F,36,Abidjan,PULSE,2023-07-22,2024-08-03,resilie
CL00095,CLÉMENT,Patrick,M,41,Abidjan,PULSE,2023-03-03,,actif
CL00096,MULLER,René,M,46,Abidjan,PULSE,2024-11-11,,actif
CL00097,GOSSELIN,Charlotte,F,58,Bouake,PULSE,2022-07-19,,actif
CL00098,RODRIGUEZ,Vincent,M,39,Korhogo,PREMIUM,2022-04-11,2024-05-13,resilie
CL00099,OLLIVIER,Robert,M,63,Abidjan,PULSE,2022-12-07,,actif
CL00100,GAILLARD,Gilles,M,48,Abidjan,PRO,2025-03-04,2025-06-21,resilie
CL00101,EVRARD,Pauline,F,40,Abidjan,PULSE,2025-02-01,2025-08-04,resilie
CL00102,LECOMTE,Émilie,F,44,Abidjan,CONNECT,2024-06-09,2025-02-11,resilie
CL00103,DELANNOY,Honoré,M,30,Abidjan,CONNECT,2022-04-02,,actif
CL00104,ALEXANDRE,Michelle,F,18,Bouake,PULSE,2023-06-06,,actif
CL00105,NAVARRO,Raymond,M,54,Abidjan,ETUDIANT,2025-03-02,,actif
CL00106,SAUVAGE,Charles,M,18,Bouake,PULSE,2025-07-05,,actif
CL00107,HOARAU,Hélène,F,36,Abidjan,CONNECT,2022-12-09,,actif
CL00108,ANDRE,Maggie,F,25,Korhogo,CONNECT,2024-05-04,2025-07-08,resilie
CL00109,LEFEBVRE,Théodore,M,56,Abidjan,CONNECT,2023-06-03,,actif
CL00110,LENOIR,Henriette,F,18,Korhogo,CONNECT,2024-03-04,,actif
CL00111,PRUVOST,Frédéric,M,37,Abidjan,PULSE,2023-04-11,2025-04-16,resilie
CL00112,ROBERT,Auguste,M,25,San-Pedro,PULSE,2023-09-28,,actif
CL00113,NEVEU,Anne,F,25,Abidjan,PREMIUM,2023-04-12,2024-07-16,resilie
CL00114,ROLLAND,Arthur,M,45,Bouake,ETUDIANT,2023-11-14,2024-04-23,resilie
CL00115,DAVID,Jacques,M,45,Abidjan,PULSE,2023-12-31,,actif
CL00116,GUÉRIN,Pierre,M,42,Yamoussoukro,ETUDIANT,2025-01-13,,actif
CL00117,GOMEZ,Laurence,F,33,Abidjan,PRO,2022-09-04,,actif
CL00118,LAROCHE,Patrick,M,35,Abidjan,ETUDIANT,2023-01-11,,actif
CL00119,BENOIT,Richard,M,30,Yamoussoukro,PRO,2022-03-30,,actif
CL00120,PAYET,Sébastien,M,49,Abidjan,ETUDIANT,2023-12-19,,actif
CL00121,VERDIER,Noël,M,52,Abidjan,ETUDIANT,2024-06-22,,actif
CL00122,BERGER,Thérèse,F,34,Abidjan,PULSE,2024-03-09,,actif
CL00123,CORDIER,Élisabeth,F,38,Korhogo,CONNECT,2023-06-16,2025-03-22,resilie
CL00124,GAUTHIER,Brigitte,F,32,Bouake,CONNECT,2024-12-10,,actif
CL00125,DELMAS,Philippine,F,19,Bouake,PRO,2024-01-26,,actif
CL00126,MONNIER,Marcel,M,18,Yamoussoukro,PRO,2025-07-10,,actif
CL00127,BOUCHET,Suzanne,F,33,Abidjan,CONNECT,2023-09-18,,actif
CL00128,CHAUVEAU,André,M,21,Abidjan,ETUDIANT,2023-11-10,,actif
CL00129,MAILLET,Victor,M,22,Abidjan,PRO,2025-02-19,,actif
CL00130,IMBERT,Benoît,M,29,Bouake,PULSE,2024-02-26,,actif
CL00131,BONNET,Océane,F,37,Abidjan,ETUDIANT,2025-06-24,,actif
CL00132,PETITJEAN,Jean,M,26,Bouake,PULSE,2025-02-06,,actif
CL00133,NICOLAS,Gérard,M,18,Yamoussoukro,SENIOR,2023-08-21,,actif
CL00134,OLIVIER,Étienne,M,18,Korhogo,PRO,2024-08-20,,actif
CL00135,REGNIER,Sophie,F,23,Yamoussoukro,CONNECT,2024-11-22,,actif
CL00136,JOLY,Pauline,F,31,Abidjan,ETUDIANT,2025-09-21,2025-12-28,resilie
CL00137,VIDAL,Guillaume,M,33,Abidjan,CONNECT,2022-07-21,,actif
CL00138,PINTO,Jeanne,F,19,Abidjan,PULSE,2023-10-08,2024-07-27,resilie
CL00139,SANCHEZ,Simone,F,38,Yamoussoukro,CONNECT,2022-03-02,2025-05-01,resilie
CL00140,DIAS,Capucine,F,22,Korhogo,CONNECT,2024-07-31,,actif
CL00141,GIRARD,Agathe,F,43,Abidjan,SENIOR,2024-03-07,,actif
CL00142,MORIN,Inès,F,28,Abidjan,SENIOR,2022-11-09,,actif
CL00143,BRUN,Odette,F,37,Abidjan,CONNECT,2022-08-17,,actif
CL00144,VALLÉE,Valérie,F,34,Korhogo,CONNECT,2023-01-06,,actif
CL00145,BENOIT,Luc,M,54,Abidjan,PREMIUM,2022-04-23,,actif
CL00146,LOPEZ,Danielle,F,47,Bouake,ETUDIANT,2024-08-02,2025-06-25,resilie
CL00147,GILLET,Adrien,M,64,Abidjan,PULSE,2024-07-05,,actif
CL00148,PERRIER,Gilles,M,22,Abidjan,CONNECT,2025-02-06,,actif
CL00149,DE SOUSA,Louise,F,23,Korhogo,SENIOR,2024-09-09,,actif
CL00150,BRIAND,Véronique,F,36,Bouake,CONNECT,2025-08-08,,actif
CL00151,MEYER,Étienne,M,47,Bouake,PULSE,2025-07-17,2025-12-10,resilie
CL00152,COLLET,Gabrielle,F,25,San-Pedro,ETUDIANT,2023-08-19,2024-12-09,resilie
CL00153,BOYER,Stéphane,M,18,Korhogo,ETUDIANT,2025-01-21,2025-05-29,resilie
CL00154,GUYON,Anne,F,59,Abidjan,PULSE,2024-03-05,,actif
CL00155,LETELLIER,Margaux,F,50,Korhogo,PULSE,2022-05-22,,actif
CL00156,BOYER,André,M,27,Bouake,CONNECT,2025-01-26,,actif
CL00157,MARY,Valentine,F,32,Abidjan,PULSE,2023-03-10,,actif
CL00158,GAUDIN,Rémy,M,51,Abidjan,ETUDIANT,2025-04-21,,actif
CL00159,BARBIER,Andrée,F,34,Yamoussoukro,SENIOR,2025-04-04,,actif
CL00160,GRÉGOIRE,Audrey,F,34,San-Pedro,PULSE,2024-01-01,2025-05-04,resilie
CL00161,LEMOINE,Arthur,M,19,Korhogo,CONNECT,2025-01-17,,actif
CL00162,VALENTIN,Antoinette,F,32,Abidjan,PREMIUM,2024-10-06,,actif
CL00163,PARENT,Georges,M,18,Abidjan,PREMIUM,2024-10-01,2025-06-20,resilie
CL00164,ANTOINE,Charles,M,51,Abidjan,PRO,2022-12-15,,actif
CL00165,COLAS,Jeanne,F,50,Bouake,CONNECT,2025-07-08,,actif
CL00166,DELORME,Théophile,M,34,San-Pedro,CONNECT,2025-05-07,,actif
CL00167,FOURNIER,Audrey,F,43,Bouake,PULSE,2022-07-01,,actif
CL00168,HUMBERT,Margaux,F,53,Abidjan,PULSE,2024-08-13,2025-03-24,resilie
CL00169,BERTIN,François,M,48,Abidjan,CONNECT,2023-11-12,2025-01-09,resilie
CL00170,LAROCHE,Hugues,M,18,San-Pedro,CONNECT,2024-02-26,,actif
CL00171,DUPUIS,Gilles,M,55,Abidjan,PREMIUM,2023-06-11,,actif
CL00172,DELAUNAY,Christophe,M,35,San-Pedro,SENIOR,2022-02-19,,actif
CL00173,LECONTE,Lucy,F,18,Abidjan,SENIOR,2023-12-28,,actif
CL00174,ALBERT,Margaux,F,33,Abidjan,CONNECT,2025-09-06,2025-12-05,resilie
CL00175,HAMEL,Arnaude,F,18,Abidjan,PULSE,2023-02-23,,actif
CL00176,PETIT,Suzanne,F,43,Abidjan,PULSE,2023-05-14,2025-11-16,resilie
CL00177,LOISEAU,Capucine,F,39,Abidjan,CONNECT,2025-03-11,,actif
CL00178,LEGRAND,René,M,20,San-Pedro,CONNECT,2023-06-19,,actif
CL00179,BENOIT,Claude,F,20,Abidjan,PULSE,2025-06-04,,actif
CL00180,AUBRY,Christelle,F,41,Abidjan,PULSE,2022-12-12,,actif
CL00181,LÉVÊQUE,Antoinette,F,32,Abidjan,CONNECT,2025-04-10,2025-09-26,resilie
CL00182,MOULIN,Julien,M,19,Abidjan,PREMIUM,2024-04-02,,actif
CL00183,JACQUET,Constance,F,24,San-Pedro,ETUDIANT,2022-06-15,,actif
CL00184,NAVARRO,Madeleine,F,36,Abidjan,PULSE,2022-08-07,,actif
CL00185,RAYMOND,Victor,M,42,Abidjan,PULSE,2025-05-24,,actif
CL00186,EVRARD,Adrienne,F,44,Abidjan,CONNECT,2023-12-23,,actif
CL00187,MARTINEAU,Robert,M,18,Abidjan,PRO,2022-06-01,,actif
CL00188,RIBEIRO,Vincent,M,53,Abidjan,PULSE,2022-02-05,,actif
CL00189,DUVAL,Daniel,M,42,Abidjan,CONNECT,2022-08-15,,actif
CL00190,AUBRY,Bertrand,M,38,Abidjan,CONNECT,2025-08-04,,actif
CL00191,GAUTIER,Robert,M,18,Abidjan,CONNECT,2022-11-20,,actif
CL00192,MEYER,Grégoire,M,36,Abidjan,CONNECT,2025-06-25,,actif
CL00193,CARRE,Thibaut,M,24,Abidjan,ETUDIANT,2024-08-20,,actif
CL00194,LACROIX,Jean,M,18,Bouake,PREMIUM,2023-11-02,,actif
CL00195,MARTINS,Julie,F,33,Abidjan,CONNECT,2023-08-05,,actif
CL00196,BODIN,Victoire,F,54,Bouake,PRO,2024-08-19,,actif
CL00197,DESCHAMPS,André,M,19,Abidjan,CONNECT,2023-11-30,2025-01-25,resilie
CL00198,MORIN,Pauline,F,31,Bouake,CONNECT,2024-10-05,2025-05-15,resilie
CL00199,BARON,Alphonse,M,18,Abidjan,PULSE,2023-08-06,,actif
CL00200,BERNARD,Jacques,M,41,Abidjan,PULSE,2025-02-22,2025-07-10,resilie
CL00201,PIRES,Christelle,F,25,Abidjan,ETUDIANT,2023-05-20,,actif
CL00202,DIAZ,Gilles,M,21,Abidjan,CONNECT,2025-02-21,,actif
CL00203,RENARD,Matthieu,M,37,Abidjan,CONNECT,2025-08-25,,actif
CL00204,COURTOIS,Marcel,M,33,Korhogo,ETUDIANT,2022-02-15,2024-08-14,resilie
CL00205,GUILBERT,Aimé,M,25,Abidjan,PREMIUM,2023-05-24,,actif
CL00206,MARIE,Auguste,M,44,Korhogo,CONNECT,2024-09-06,,actif
CL00207,BLOT,Denis,M,18,Yamoussoukro,PULSE,2024-05-31,,actif
CL00208,MORVAN,Alfred,M,41,Abidjan,CONNECT,2024-01-01,,actif
CL00209,LEMAÎTRE,Stéphane,M,18,Abidjan,CONNECT,2023-09-30,,actif
CL00210,COURTOIS,Claudine,F,34,Abidjan,CONNECT,2023-02-09,,actif
CL00211,PERRET,Charlotte,F,33,Abidjan,PULSE,2023-02-07,2025-05-10,resilie
CL00212,DUPONT,Honoré,M,18,Abidjan,PULSE,2025-05-02,,actif
CL00213,MARCHAL,Alphonse,M,48,Abidjan,PREMIUM,2022-08-04,,actif
CL00214,PELLETIER,François,M,25,Yamoussoukro,CONNECT,2023-04-21,,actif
CL00215,NORMAND,Gérard,M,18,Abidjan,ETUDIANT,2022-02-08,,actif
CL00216,MARTINEAU,Caroline,F,22,San-Pedro,SENIOR,2023-07-26,2024-02-25,resilie
CL00217,MONNIER,Roger,M,39,Korhogo,PULSE,2022-09-26,,actif
CL00218,CORDIER,Thierry,M,25,Abidjan,PRO,2022-08-09,,actif
CL00219,BOUVET,Denis,M,50,Abidjan,PRO,2024-08-29,,actif
CL00220,GOMEZ,Édouard,M,37,Abidjan,PULSE,2023-01-23,,actif
CL00221,SCHMITT,Lucas,M,39,Bouake,CONNECT,2024-09-15,2025-01-16,resilie
CL00222,LAURENT,Emmanuel,M,28,Abidjan,ETUDIANT,2024-10-14,2025-11-30,resilie
CL00223,GALLET,Margaret,F,50,Abidjan,CONNECT,2022-11-17,2025-07-30,resilie
CL00224,BOUCHET,Xavier,M,28,Abidjan,PULSE,2022-07-04,,actif
CL00225,GUYON,Jeanne,F,34,Abidjan,ETUDIANT,2025-02-26,,actif
CL00226,DA COSTA,Constance,F,57,Abidjan,CONNECT,2024-12-16,,actif
CL00227,BOUTIN,Bernard,M,37,Abidjan,ETUDIANT,2023-09-11,,actif
CL00228,WEBER,Alfred,M,44,Bouake,CONNECT,2023-09-28,,actif
CL00229,LELIÈVRE,Geneviève,F,38,Bouake,CONNECT,2025-06-12,,actif
CL00230,BOURGEOIS,Suzanne,F,28,San-Pedro,PRO,2023-03-12,,actif
CL00231,MARTY,Honoré,M,27,Abidjan,PRO,2025-09-24,,actif
CL00232,DUMAS,Hélène,F,22,Abidjan,CONNECT,2023-01-01,,actif
CL00233,LAURENT,Élise,F,40,Abidjan,ETUDIANT,2022-01-16,,actif
CL00234,ALEXANDRE,Jacques,M,38,Abidjan,ETUDIANT,2023-08-30,2024-10-22,resilie
CL00235,LOPES,Arthur,M,30,Yamoussoukro,PULSE,2024-07-28,2025-02-22,resilie
CL00236,LELEU,Guillaume,M,20,Abidjan,PREMIUM,2025-07-14,,actif
CL00237,MARTY,Dominique,F,46,Bouake,CONNECT,2024-05-30,2024-12-21,resilie
CL00238,ALEXANDRE,Margot,F,52,Abidjan,CONNECT,2023-07-09,,actif
CL00239,LEROY,Céline,F,18,Abidjan,SENIOR,2022-05-13,2024-11-10,resilie
CL00240,BERTIN,Emmanuel,M,54,Abidjan,CONNECT,2024-06-28,2025-09-13,resilie
CL00241,BLIN,Gilles,M,68,Abidjan,ETUDIANT,2024-04-14,,actif
CL00242,MOREL,Bernard,M,35,Korhogo,CONNECT,2024-06-25,2024-10-13,resilie
CL00243,GODARD,Martin,M,40,Bouake,PULSE,2023-11-02,,actif
CL00244,BARRE,Margaux,F,37,Bouake,CONNECT,2022-07-17,,actif
CL00245,NGUYEN,Dominique,F,56,Korhogo,ETUDIANT,2023-07-16,,actif
CL00246,FERREIRA,Nathalie,F,26,Abidjan,PULSE,2024-08-31,,actif
CL00247,VERDIER,Étienne,M,34,Bouake,CONNECT,2023-08-03,2025-08-22,resilie
CL00248,ADAM,Alphonse,M,49,Abidjan,CONNECT,2025-08-03,,actif
CL00249,NEVEU,Renée,F,19,Abidjan,ETUDIANT,2024-08-30,,actif
CL00250,MARTIN,Raymond,M,18,Abidjan,CONNECT,2023-10-30,,actif
CL00251,TANGUY,Élodie,F,29,Abidjan,CONNECT,2023-11-17,,actif
CL00252,MARCHAL,Martin,M,57,Abidjan,PULSE,2023-08-24,,actif
CL00253,MULLER,Xavier,M,18,San-Pedro,CONNECT,2025-02-10,2025-06-02,resilie
CL00254,RÉMY,Thierry,M,33,Bouake,PREMIUM,2023-06-11,,actif
CL00255,BOUVIER,Vincent,M,30,Abidjan,SENIOR,2024-11-29,,actif
CL00256,DENIS,Lucy,F,18,Abidjan,CONNECT,2025-09-18,,actif
CL00257,GUILLOU,Honoré,M,34,Abidjan,ETUDIANT,2024-05-06,2025-08-09,resilie
CL00258,MARTINEAU,Lucas,M,33,Abidjan,PULSE,2025-07-14,,actif
CL00259,MILLET,Océane,F,33,Bouake,PULSE,2023-03-03,2024-05-14,resilie
CL00260,GRENIER,William,M,26,Yamoussoukro,CONNECT,2024-06-26,,actif
CL00261,LENOIR,Christophe,M,18,Abidjan,CONNECT,2022-09-16,2025-10-07,resilie
CL00262,OLIVIER,Paulette,F,49,Abidjan,PULSE,2022-12-01,2024-01-15,resilie
CL00263,CHARTIER,Laurent,M,18,Bouake,CONNECT,2022-07-20,,actif
CL00264,LABBÉ,Diane,F,23,Abidjan,PULSE,2024-08-13,,actif
CL00265,CHAUVET,Madeleine,F,47,Abidjan,PULSE,2024-10-27,,actif
CL00266,LEBON,Robert,M,51,Abidjan,PREMIUM,2024-11-18,,actif
CL00267,MARTIN,Henri,M,26,Bouake,PULSE,2024-09-25,,actif
CL00268,RENAULT,Françoise,F,40,Abidjan,PULSE,2024-08-03,,actif
CL00269,PERRET,Stéphane,M,43,San-Pedro,CONNECT,2023-02-05,,actif
CL00270,SEGUIN,Margot,F,40,Bouake,PULSE,2022-06-02,2025-02-28,resilie
CL00271,TURPIN,Matthieu,M,42,Abidjan,PULSE,2024-11-15,2025-02-14,resilie
CL00272,PICHON,Yves,M,29,Abidjan,PULSE,2023-09-14,,actif
CL00273,BENOIT,Pierre,M,38,Abidjan,ETUDIANT,2022-11-11,,actif
CL00274,REYNAUD,Émile,M,18,Yamoussoukro,CONNECT,2023-12-18,,actif
CL00275,DELMAS,Augustin,M,24,Bouake,PULSE,2024-07-31,,actif
CL00276,JACQUET,Margaret,F,18,Bouake,CONNECT,2023-05-15,,actif
CL00277,MORIN,Inès,F,18,Abidjan,SENIOR,2024-05-01,2025-11-26,resilie
CL00278,MAILLET,Honoré,M,57,Yamoussoukro,PULSE,2024-03-11,,actif
CL00279,JEAN,Élodie,F,33,San-Pedro,PRO,2024-10-21,,actif
CL00280,CARON,Alexandrie,F,49,Abidjan,PULSE,2024-11-04,,actif
CL00281,LAMBERT,Gérard,M,38,Bouake,PULSE,2022-08-04,,actif
CL00282,OLLIVIER,Thibault,M,18,Abidjan,ETUDIANT,2022-08-03,,actif
CL00283,LECOQ,Auguste,M,34,Abidjan,PULSE,2022-02-11,,actif
CL00284,PINEAU,Marc,M,38,Abidjan,ETUDIANT,2025-09-12,,actif
CL00285,LOMBARD,Élise,F,36,Abidjan,CONNECT,2024-08-29,,actif
CL00286,WAGNER,Léon,M,20,Bouake,ETUDIANT,2023-12-05,,actif
CL00287,COSTA,Luc,M,37,Bouake,PREMIUM,2025-09-02,2025-12-11,resilie
CL00288,BERGER,David,M,47,Abidjan,ETUDIANT,2023-10-21,,actif
CL00289,BÈGUE,Adrien,M,18,Abidjan,PULSE,2025-01-23,2025-05-10,resilie
CL00290,HAMEL,Catherine,F,18,Abidjan,PREMIUM,2025-07-26,,actif
CL00291,MERLE,Marcel,M,36,Abidjan,CONNECT,2023-04-21,,actif
CL00292,VASSEUR,Emmanuel,M,23,Abidjan,CONNECT,2022-07-31,,actif
CL00293,GRENIER,Susan,F,20,Bouake,CONNECT,2024-07-07,2025-03-07,resilie
CL00294,GIRARD,Jeanne,F,48,Bouake,ETUDIANT,2022-04-15,,actif
CL00295,RIVIÈRE,Susanne,F,21,Abidjan,PULSE,2023-09-03,2025-03-17,resilie
CL00296,LUCAS,Susan,F,43,Bouake,PULSE,2023-05-26,,actif
CL00297,MARTINEAU,Margaud,F,69,Abidjan,PRO,2022-12-25,,actif
CL00298,FAIVRE,Matthieu,M,32,Abidjan,PULSE,2025-07-03,,actif
CL00299,RAYMOND,Philippe,M,33,Bouake,CONNECT,2025-04-19,2025-11-13,resilie
CL00300,LAUNAY,Robert,M,58,Abidjan,ETUDIANT,2024-08-09,2024-11-11,resilie
CL00301,COHEN,Édouard,M,42,Abidjan,CONNECT,2023-08-23,,actif
CL00302,BERNIER,Thérèse,F,47,Abidjan,PULSE,2022-06-11,,actif
CL00303,LEBRETON,Gilles,M,32,Abidjan,CONNECT,2025-04-28,,actif
CL00304,HAMEL,Gérard,M,42,San-Pedro,PREMIUM,2023-06-07,,actif
CL00305,DIAZ,Guillaume,M,41,Bouake,ETUDIANT,2023-02-22,,actif
CL00306,GOSSELIN,Raymond,M,49,Abidjan,CONNECT,2022-08-17,,actif
CL00307,VALLÉE,Thomas,M,40,Abidjan,CONNECT,2025-04-02,,actif
CL00308,DUPUIS,Guillaume,M,36,San-Pedro,PULSE,2022-02-24,,actif
CL00309,BESNARD,Auguste,M,18,Korhogo,SENIOR,2023-07-27,2025-12-03,resilie
