ticket_id,created_at,category_id,agent_id,pays,canal,priorite,statut,sla_heures,first_response_heures,resolution_heures,sla_breach,nb_contacts,reopened,csat,in_backlog,ratio_sla,nom,tier,tier_num,bureau,csat_moyen,taux_resolution_pct,tickets_actifs,nom_cat,domaine,priorite_defaut,sla_strict,heure_creation,jour_semaine,mois,est_weekend,heure_hors_bureau,ticket_at_risk,is_high_priority,is_long_wait,is_reopened
TKT000011,2022-01-01 18:48:00,CAT010,AGT001,Maroc,Email,1,Résolu,60,2.4,33.3,0,1,0,3.8,0,0.555,Aminata Diallo,Tier 1,1,Abidjan,4.2,88,42,Fraude signalée,Security,1,True,18,5,1,1,0,0,1,0,0
TKT000012,2022-01-01 12:11:00,CAT004,AGT012,Cameroun,Email,3,Résolu,240,29.7,169.5,0,3,0,5.0,0,0.706,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Remboursement,Billing,3,True,12,5,1,1,0,0,0,1,0
TKT000013,2022-01-01 16:33:00,CAT002,AGT006,Ghana,Chat,2,Escaladé,120,7.7,142.5,1,4,0,,0,1.188,Jean-Marc Dubois,Tier 3,3,Paris,4.8,98,12,Panne technique,Technical,2,True,16,5,1,1,0,1,1,1,0
TKT000014,2022-01-01 13:05:00,CAT008,AGT005,CI,Email,2,Résolu,120,3.1,47.8,0,3,0,4.1,0,0.398,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Probleme paiement,Billing,2,True,13,5,1,1,0,0,1,0,0
TKT000015,2022-01-01 13:38:00,CAT002,AGT008,Mali,Email,2,Résolu,120,12.3,78.0,0,2,0,4.3,0,0.65,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Panne technique,Technical,2,True,13,5,1,1,0,0,1,1,0
TKT000016,2022-01-02 11:57:00,CAT002,AGT005,Senegal,Téléphone,2,Résolu,120,10.3,108.8,0,1,0,4.5,0,0.907,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Panne technique,Technical,2,True,11,6,1,1,0,0,1,1,0
TKT000017,2022-01-02 15:03:00,CAT005,AGT004,France,Email,1,Backlog,60,6.1,27.5,0,1,0,,1,0.458,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Acces compte,Technical,1,True,15,6,1,1,0,1,1,1,0
TKT000018,2022-01-02 15:56:00,CAT002,AGT011,France,Chat,2,Résolu,120,22.6,109.1,0,3,1,4.3,0,0.909,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Panne technique,Technical,2,True,15,6,1,1,0,0,1,1,1
TKT000019,2022-01-02 17:03:00,CAT001,AGT007,Senegal,Chat,4,Fermé,240,24.7,355.1,1,1,0,3.2,0,1.48,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Facturation,Billing,4,True,17,6,1,1,0,1,0,1,0
TKT000020,2022-01-02 12:27:00,CAT003,AGT002,CI,Email,3,Résolu,180,33.0,146.7,0,1,0,3.3,0,0.815,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Livraison retardee,Delivery,3,True,12,6,1,1,0,0,0,1,0
TKT000021,2022-01-02 13:00:00,CAT007,AGT009,CI,Téléphone,5,Escaladé,480,233.2,1061.4,1,1,0,,0,2.211,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Demande info,General,5,False,13,6,1,1,0,1,0,1,0
TKT000022,2022-01-02 08:00:00,CAT004,AGT004,Cameroun,App mobile,3,Escaladé,240,36.8,343.7,1,2,0,,0,1.432,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Remboursement,Billing,3,True,8,6,1,1,0,1,0,1,0
TKT000023,2022-01-02 08:13:00,CAT007,AGT009,Maroc,Chat,5,Résolu,480,182.4,913.6,1,1,0,3.6,0,1.903,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Demande info,General,5,False,8,6,1,1,0,1,0,1,0
TKT000024,2022-01-02 05:32:00,CAT005,AGT009,Mali,Chat,1,Résolu,60,5.0,29.3,0,2,0,4.1,0,0.488,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Acces compte,Technical,1,True,5,6,1,1,1,0,1,1,0
TKT000025,2022-01-02 13:02:00,CAT002,AGT002,Mali,Chat,2,Escaladé,120,29.7,125.2,1,1,0,,0,1.043,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Panne technique,Technical,2,True,13,6,1,1,0,1,1,1,0
TKT000026,2022-01-03 15:29:00,CAT007,AGT004,Senegal,Email,5,En cours,480,25.6,397.0,0,2,0,,0,0.827,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Demande info,General,5,False,15,0,1,0,0,0,0,1,0
TKT000027,2022-01-03 10:59:00,CAT010,AGT002,CI,Email,1,Résolu,60,2.8,28.3,0,1,0,3.6,0,0.472,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Fraude signalée,Security,1,True,10,0,1,0,0,0,1,0,0
TKT000028,2022-01-03 22:41:00,CAT003,AGT009,Maroc,Téléphone,3,Escaladé,180,55.1,233.1,1,1,0,,0,1.295,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Livraison retardee,Delivery,3,True,22,0,1,0,1,1,0,1,0
TKT000029,2022-01-03 14:17:00,CAT008,AGT005,CI,Email,2,Résolu,120,9.3,78.7,0,2,0,4.0,0,0.656,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Probleme paiement,Billing,2,True,14,0,1,0,0,0,1,1,0
TKT000030,2022-01-03 18:05:00,CAT008,AGT009,France,App mobile,2,En cours,120,7.8,132.6,1,1,0,,0,1.105,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Probleme paiement,Billing,2,True,18,0,1,0,0,1,1,1,0
TKT000031,2022-01-03 16:35:00,CAT002,AGT005,CI,Chat,2,Résolu,120,6.2,27.5,0,4,0,4.4,0,0.229,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Panne technique,Technical,2,True,16,0,1,0,0,0,1,1,0
TKT000032,2022-01-03 04:23:00,CAT008,AGT010,France,Chat,2,En cours,120,35.8,161.0,1,4,1,,0,1.342,Olivier Martin,Tier 3,3,Paris,4.6,97,15,Probleme paiement,Billing,2,True,4,0,1,0,1,1,1,1,1
TKT000033,2022-01-03 19:39:00,CAT002,AGT002,Senegal,Chat,2,Escaladé,120,16.7,171.1,1,1,0,,0,1.426,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Panne technique,Technical,2,True,19,0,1,0,1,1,1,1,0
TKT000034,2022-01-03 16:21:00,CAT007,AGT003,Cameroun,Email,5,Résolu,480,94.1,910.5,1,3,1,3.7,0,1.897,Fatou Sow,Tier 2,2,Dakar,4.5,94,28,Demande info,General,5,False,16,0,1,0,0,1,0,1,1
TKT000035,2022-01-03 12:19:00,CAT008,AGT008,CI,App mobile,2,Backlog,120,12.8,134.8,1,2,0,,1,1.123,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Probleme paiement,Billing,2,True,12,0,1,0,0,1,1,1,0
TKT000036,2022-01-03 10:41:00,CAT003,AGT005,Cameroun,Web form,3,Escaladé,180,44.3,186.2,1,1,0,,0,1.034,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Livraison retardee,Delivery,3,True,10,0,1,0,0,1,0,1,0
TKT000037,2022-01-03 04:38:00,CAT010,AGT003,France,Web form,1,En cours,60,5.5,49.0,0,2,0,,0,0.817,Fatou Sow,Tier 2,2,Dakar,4.5,94,28,Fraude signalée,Security,1,True,4,0,1,0,1,0,1,1,0
TKT000038,2022-01-03 05:27:00,CAT004,AGT007,Mali,Email,3,Escaladé,240,11.0,69.7,0,2,0,,0,0.29,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Remboursement,Billing,3,True,5,0,1,0,1,1,0,1,0
TKT000039,2022-01-03 21:58:00,CAT007,AGT011,CI,Chat,5,Résolu,480,101.9,525.6,1,1,0,3.1,0,1.095,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Demande info,General,5,False,21,0,1,0,1,1,0,1,0
TKT000040,2022-01-03 14:12:00,CAT003,AGT007,Senegal,Téléphone,3,Escaladé,180,23.7,127.8,0,4,0,,0,0.71,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Livraison retardee,Delivery,3,True,14,0,1,0,0,1,0,1,0
TKT000041,2022-01-03 09:50:00,CAT003,AGT009,Cameroun,Chat,3,Escaladé,180,32.7,236.5,1,2,0,,0,1.314,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Livraison retardee,Delivery,3,True,9,0,1,0,0,1,0,1,0
TKT000042,2022-01-03 13:40:00,CAT004,AGT012,CI,Email,3,Résolu,240,62.0,335.7,1,1,0,4.2,0,1.399,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Remboursement,Billing,3,True,13,0,1,0,0,1,0,1,0
TKT000043,2022-01-03 14:49:00,CAT002,AGT001,CI,Web form,2,Résolu,120,12.4,70.7,0,1,0,4.3,0,0.589,Aminata Diallo,Tier 1,1,Abidjan,4.2,88,42,Panne technique,Technical,2,True,14,0,1,0,0,0,1,1,0
TKT000044,2022-01-03 15:57:00,CAT007,AGT008,Senegal,Email,5,En cours,480,53.7,753.1,1,1,0,,0,1.569,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Demande info,General,5,False,15,0,1,0,0,1,0,1,0
TKT000045,2022-01-03 09:54:00,CAT002,AGT012,France,Email,2,Résolu,120,8.6,60.4,0,2,0,5.0,0,0.503,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Panne technique,Technical,2,True,9,0,1,0,0,0,1,1,0
TKT000046,2022-01-03 14:46:00,CAT005,AGT006,Mali,App mobile,1,Résolu,60,13.7,59.1,0,1,0,5.0,0,0.985,Jean-Marc Dubois,Tier 3,3,Paris,4.8,98,12,Acces compte,Technical,1,True,14,0,1,0,0,0,1,1,0
TKT000047,2022-01-04 18:17:00,CAT002,AGT008,France,Téléphone,2,Résolu,120,16.3,154.9,1,1,0,4.2,0,1.291,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Panne technique,Technical,2,True,18,1,1,0,0,1,1,1,0
TKT000048,2022-01-04 07:09:00,CAT002,AGT005,Senegal,App mobile,2,Résolu,120,10.9,57.1,0,1,0,4.7,0,0.476,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Panne technique,Technical,2,True,7,1,1,0,1,0,1,1,0
TKT000049,2022-01-04 18:24:00,CAT003,AGT009,France,Email,3,Résolu,180,47.3,213.5,1,3,0,3.8,0,1.186,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Livraison retardee,Delivery,3,True,18,1,1,0,0,1,0,1,0
TKT000050,2022-01-04 19:53:00,CAT001,AGT006,Senegal,Chat,4,En cours,240,40.0,251.3,1,2,0,,0,1.047,Jean-Marc Dubois,Tier 3,3,Paris,4.8,98,12,Facturation,Billing,4,True,19,1,1,0,1,1,0,1,0
TKT000051,2022-01-04 11:42:00,CAT002,AGT004,Senegal,Chat,2,Résolu,120,38.5,176.7,1,4,0,3.1,0,1.472,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Panne technique,Technical,2,True,11,1,1,0,0,1,1,1,0
TKT000052,2022-01-04 07:27:00,CAT004,AGT007,Maroc,Téléphone,3,Résolu,240,5.8,97.1,0,1,0,3.7,0,0.405,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Remboursement,Billing,3,True,7,1,1,0,1,0,0,1,0
TKT000053,2022-01-04 10:53:00,CAT002,AGT006,Senegal,App mobile,2,En cours,120,15.7,108.8,0,3,1,,0,0.907,Jean-Marc Dubois,Tier 3,3,Paris,4.8,98,12,Panne technique,Technical,2,True,10,1,1,0,0,0,1,1,1
TKT000054,2022-01-04 15:48:00,CAT010,AGT004,Maroc,Téléphone,1,Résolu,60,5.0,23.0,0,2,0,3.3,0,0.383,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Fraude signalée,Security,1,True,15,1,1,0,0,0,1,1,0
TKT000055,2022-01-04 09:44:00,CAT002,AGT008,Maroc,Chat,2,Résolu,120,14.0,82.0,0,5,0,4.3,0,0.683,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Panne technique,Technical,2,True,9,1,1,0,0,0,1,1,0
TKT000056,2022-01-04 03:19:00,CAT007,AGT003,Belgique,Email,5,Backlog,480,94.5,755.3,1,4,1,,1,1.574,Fatou Sow,Tier 2,2,Dakar,4.5,94,28,Demande info,General,5,False,3,1,1,0,1,1,0,1,1
TKT000057,2022-01-04 10:43:00,CAT005,AGT011,CI,Téléphone,1,Résolu,60,10.9,44.2,0,3,0,3.5,0,0.737,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Acces compte,Technical,1,True,10,1,1,0,0,0,1,1,0
TKT000058,2022-01-05 01:26:00,CAT003,AGT006,CI,Téléphone,3,Escaladé,180,33.2,187.4,1,3,0,,0,1.041,Jean-Marc Dubois,Tier 3,3,Paris,4.8,98,12,Livraison retardee,Delivery,3,True,1,2,1,0,1,1,0,1,0
TKT000059,2022-01-05 15:58:00,CAT003,AGT012,France,Téléphone,3,Escaladé,180,42.0,195.4,1,2,0,,0,1.086,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Livraison retardee,Delivery,3,True,15,2,1,0,0,1,0,1,0
TKT000060,2022-01-05 19:15:00,CAT003,AGT004,Cameroun,Email,3,Escaladé,180,32.5,277.0,1,2,0,,0,1.539,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Livraison retardee,Delivery,3,True,19,2,1,0,1,1,0,1,0
TKT000061,2022-01-05 10:56:00,CAT003,AGT008,CI,Téléphone,3,Backlog,180,32.3,200.2,1,2,0,,1,1.112,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Livraison retardee,Delivery,3,True,10,2,1,0,0,1,0,1,0
TKT000062,2022-01-05 16:44:00,CAT002,AGT004,Ghana,Chat,2,En cours,120,14.8,105.9,0,1,0,,0,0.883,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Panne technique,Technical,2,True,16,2,1,0,0,0,1,1,0
TKT000063,2022-01-05 14:30:00,CAT002,AGT007,Maroc,Chat,2,Résolu,120,20.2,81.1,0,2,0,3.7,0,0.676,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Panne technique,Technical,2,True,14,2,1,0,0,0,1,1,0
TKT000064,2022-01-05 08:12:00,CAT003,AGT008,Senegal,Email,3,En cours,180,29.8,124.0,0,2,0,,0,0.689,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Livraison retardee,Delivery,3,True,8,2,1,0,0,0,0,1,0
TKT000065,2022-01-05 22:33:00,CAT002,AGT012,France,Téléphone,2,Fermé,120,20.1,92.9,0,1,0,4.3,0,0.774,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Panne technique,Technical,2,True,22,2,1,0,1,0,1,1,0
TKT000066,2022-01-05 10:03:00,CAT003,AGT005,CI,Chat,3,Résolu,180,35.2,198.5,1,3,1,5.0,0,1.103,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Livraison retardee,Delivery,3,True,10,2,1,0,0,1,0,1,1
TKT000067,2022-01-05 08:03:00,CAT001,AGT005,France,Chat,4,Backlog,240,13.8,189.3,0,1,0,,1,0.789,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Facturation,Billing,4,True,8,2,1,0,0,1,0,1,0
TKT000068,2022-01-05 08:36:00,CAT004,AGT010,Maroc,Email,3,Résolu,240,27.4,371.3,1,3,0,4.3,0,1.547,Olivier Martin,Tier 3,3,Paris,4.6,97,15,Remboursement,Billing,3,True,8,2,1,0,0,1,0,1,0
TKT000069,2022-01-05 19:19:00,CAT007,AGT004,Ghana,Chat,5,Fermé,480,93.5,841.9,1,2,0,3.1,0,1.754,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Demande info,General,5,False,19,2,1,0,1,1,0,1,0
TKT000070,2022-01-05 15:16:00,CAT005,AGT012,CI,Téléphone,1,Résolu,60,4.3,50.2,0,1,0,5.0,0,0.837,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Acces compte,Technical,1,True,15,2,1,0,0,0,1,1,0
TKT000071,2022-01-05 03:18:00,CAT001,AGT008,Maroc,Chat,4,En cours,240,47.3,336.0,1,2,0,,0,1.4,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Facturation,Billing,4,True,3,2,1,0,1,1,0,1,0
TKT000072,2022-01-05 09:07:00,CAT008,AGT011,France,App mobile,2,Escaladé,120,27.3,127.0,1,1,0,,0,1.058,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Probleme paiement,Billing,2,True,9,2,1,0,0,1,1,1,0
TKT000073,2022-01-05 20:28:00,CAT002,AGT005,Maroc,App mobile,2,Résolu,120,9.5,50.1,0,4,0,4.2,0,0.418,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Panne technique,Technical,2,True,20,2,1,0,1,0,1,1,0
TKT000074,2022-01-05 16:38:00,CAT004,AGT002,Maroc,App mobile,3,Résolu,240,56.5,233.2,0,3,0,4.1,0,0.972,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Remboursement,Billing,3,True,16,2,1,0,0,0,0,1,0
TKT000075,2022-01-05 17:11:00,CAT010,AGT011,Cameroun,Chat,1,Résolu,60,12.7,54.4,0,1,0,3.2,0,0.907,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Fraude signalée,Security,1,True,17,2,1,0,0,0,1,1,0
TKT000076,2022-01-05 12:26:00,CAT005,AGT011,Cameroun,Web form,1,Résolu,60,11.9,53.6,0,1,0,3.0,0,0.893,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Acces compte,Technical,1,True,12,2,1,0,0,0,1,1,0
TKT000077,2022-01-05 16:02:00,CAT007,AGT005,Maroc,Chat,5,Escaladé,480,45.3,619.2,1,3,0,,0,1.29,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Demande info,General,5,False,16,2,1,0,0,1,0,1,0
TKT000078,2022-01-05 12:12:00,CAT007,AGT001,Maroc,Chat,5,Escaladé,480,148.7,849.6,1,3,1,,0,1.77,Aminata Diallo,Tier 1,1,Abidjan,4.2,88,42,Demande info,General,5,False,12,2,1,0,0,1,0,1,1
TKT000079,2022-01-06 08:40:00,CAT005,AGT005,France,Téléphone,1,Résolu,60,3.2,39.0,0,2,0,4.7,0,0.65,Aya Touré,Tier 2,2,Abidjan,4.7,96,22,Acces compte,Technical,1,True,8,3,1,0,0,0,1,0,0
TKT000080,2022-01-06 07:07:00,CAT005,AGT002,CI,App mobile,1,Résolu,60,11.4,48.3,0,1,0,3.2,0,0.805,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Acces compte,Technical,1,True,7,3,1,0,1,0,1,1,0
TKT000081,2022-01-06 09:35:00,CAT007,AGT007,Cameroun,Web form,5,Résolu,480,62.4,367.5,0,3,1,3.5,0,0.766,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Demande info,General,5,False,9,3,1,0,0,0,0,1,1
TKT000082,2022-01-06 10:00:00,CAT001,AGT007,Senegal,Téléphone,4,Résolu,240,39.1,233.6,0,5,0,3.5,0,0.973,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Facturation,Billing,4,True,10,3,1,0,0,0,0,1,0
TKT000083,2022-01-06 17:24:00,CAT002,AGT009,France,Chat,2,Résolu,120,33.9,137.7,1,1,0,3.6,0,1.148,Nadia Benhaddou,Tier 1,1,Casablanca,4.0,80,45,Panne technique,Technical,2,True,17,3,1,0,0,1,1,1,0
TKT000084,2022-01-06 16:51:00,CAT003,AGT007,CI,Téléphone,3,Fermé,180,31.2,149.8,0,2,0,4.2,0,0.832,Aissatou Ba,Tier 1,1,Dakar,3.9,78,48,Livraison retardee,Delivery,3,True,16,3,1,0,0,0,0,1,0
TKT000085,2022-01-06 10:06:00,CAT002,AGT001,CI,Web form,2,Escaladé,120,6.4,121.2,1,1,0,,0,1.01,Aminata Diallo,Tier 1,1,Abidjan,4.2,88,42,Panne technique,Technical,2,True,10,3,1,0,0,1,1,1,0
TKT000086,2022-01-06 10:39:00,CAT008,AGT003,CI,Téléphone,2,Escaladé,120,28.3,128.4,1,3,0,,0,1.07,Fatou Sow,Tier 2,2,Dakar,4.5,94,28,Probleme paiement,Billing,2,True,10,3,1,0,0,1,1,1,0
TKT000087,2022-01-06 14:39:00,CAT003,AGT012,Cameroun,Chat,3,Résolu,180,29.6,126.5,0,5,0,3.8,0,0.703,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Livraison retardee,Delivery,3,True,14,3,1,0,0,0,0,1,0
TKT000088,2022-01-06 07:10:00,CAT003,AGT002,Ghana,Téléphone,3,Backlog,180,14.9,251.1,1,3,1,,1,1.395,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Livraison retardee,Delivery,3,True,7,3,1,0,1,1,0,1,1
TKT000089,2022-01-06 15:11:00,CAT003,AGT003,CI,Chat,3,Résolu,180,24.7,110.4,0,2,0,4.8,0,0.613,Fatou Sow,Tier 2,2,Dakar,4.5,94,28,Livraison retardee,Delivery,3,True,15,3,1,0,0,0,0,1,0
TKT000090,2022-01-06 09:16:00,CAT002,AGT010,CI,Chat,2,Backlog,120,12.6,88.0,0,1,0,,1,0.733,Olivier Martin,Tier 3,3,Paris,4.6,97,15,Panne technique,Technical,2,True,9,3,1,0,0,1,1,1,0
TKT000091,2022-01-06 14:40:00,CAT005,AGT002,France,Chat,1,Résolu,60,8.0,56.8,0,1,0,4.0,0,0.947,Kofi Mensah,Tier 1,1,Accra,3.8,72,38,Acces compte,Technical,1,True,14,3,1,0,0,0,1,1,0
TKT000092,2022-01-06 11:18:00,CAT010,AGT008,CI,Chat,1,Escaladé,60,7.5,71.2,1,2,0,,0,1.187,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Fraude signalée,Security,1,True,11,3,1,0,0,1,1,1,0
TKT000093,2022-01-06 16:53:00,CAT007,AGT012,Belgique,App mobile,5,Résolu,480,162.7,949.2,1,1,0,4.0,0,1.978,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Demande info,General,5,False,16,3,1,0,0,1,0,1,0
TKT000094,2022-01-06 17:43:00,CAT006,AGT010,Senegal,Téléphone,3,Résolu,360,49.3,441.1,1,1,0,4.6,0,1.225,Olivier Martin,Tier 3,3,Paris,4.6,97,15,Qualite produit,Product,3,False,17,3,1,0,0,1,0,1,0
TKT000095,2022-01-06 10:26:00,CAT005,AGT012,CI,App mobile,1,Résolu,60,4.4,27.7,0,5,0,4.1,0,0.462,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Acces compte,Technical,1,True,10,3,1,0,0,0,1,1,0
TKT000096,2022-01-06 13:51:00,CAT008,AGT003,Senegal,App mobile,2,Backlog,120,24.8,117.8,0,2,0,,1,0.982,Fatou Sow,Tier 2,2,Dakar,4.5,94,28,Probleme paiement,Billing,2,True,13,3,1,0,0,1,1,1,0
TKT000097,2022-01-07 22:54:00,CAT001,AGT004,Cameroun,Téléphone,4,Escaladé,240,19.8,374.6,1,2,0,,0,1.561,Moussa Kone,Tier 1,1,Abidjan,3.5,65,55,Facturation,Billing,4,True,22,4,1,0,1,1,0,1,0
TKT000098,2022-01-07 11:40:00,CAT004,AGT011,Ghana,Email,3,Résolu,240,64.6,447.6,1,2,0,2.8,0,1.865,Ramatou Diaby,Tier 1,1,Ouagadougou,3.6,68,52,Remboursement,Billing,3,True,11,4,1,0,0,1,0,1,0
TKT000099,2022-01-07 06:52:00,CAT009,AGT006,Mali,Email,1,En cours,480,68.2,379.0,0,1,0,,0,0.79,Jean-Marc Dubois,Tier 3,3,Paris,4.8,98,12,Escalade juridique,Legal,1,True,6,4,1,0,1,0,1,1,0
TKT000100,2022-01-07 07:56:00,CAT001,AGT001,Senegal,Chat,4,Escaladé,240,63.5,345.1,1,3,0,,0,1.438,Aminata Diallo,Tier 1,1,Abidjan,4.2,88,42,Facturation,Billing,4,True,7,4,1,0,1,1,0,1,0
TKT000101,2022-01-07 15:53:00,CAT003,AGT012,Ghana,App mobile,3,Résolu,180,34.7,144.3,0,1,0,4.8,0,0.802,Samuel Acheampong,Tier 2,2,Accra,4.4,92,26,Livraison retardee,Delivery,3,True,15,4,1,0,0,0,0,1,0
TKT000102,2022-01-07 11:43:00,CAT003,AGT008,France,Email,3,Backlog,180,29.2,163.0,0,1,0,,1,0.906,Ibrahim Coulibaly,Tier 2,2,Bamako,4.3,90,30,Livraison retardee,Delivery,3,True,11,4,1,0,0,1,0,1,0
