employe_id,prenom,nom,email,genre,date_naissance,ville,departement_id,poste,niveau_etude,type_contrat,date_embauche,salaire_base,statut,date_depart,motif_depart
EMP0042,Luc,Camara,luc.camara42@telcomci.ci,M,1986-07-05,Bouake,DEP02,Commercial Junior,Bac+4,CDI,2022-03-03,814000,Inactif,2023-10-08,Demission
EMP0043,Thierry,Sow,thierry.sow43@telcomci.ci,M,1996-03-20,Bouake,DEP02,Commercial Junior,Bac+3,CDI,2017-12-24,774000,Actif,,
EMP0044,Ibrahim,Bamba,ibrahim.bamba44@telcomci.ci,M,2013-06-24,Daloa,DEP02,Commercial Junior,Bac+4,CDI,2018-09-05,733000,Actif,,
EMP0045,Ibrahim,Toure,ibrahim.toure45@telcomci.ci,M,1984-06-17,San Pedro,DEP02,Commercial Junior,Bac+5,CDD,2017-05-24,805000,Actif,,
EMP0046,Adama,Ndoye,adama.ndoye46@telcomci.ci,M,1987-09-28,Abidjan,DEP02,Commercial Junior,Bac,CDI,2015-08-05,670000,Actif,,
EMP0047,Clarisse,Ouattara,clarisse.ouattara47@telcomci.ci,F,1981-08-13,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2020-05-02,702000,Actif,,
EMP0048,Yao,Ouattara,yao.ouattara48@telcomci.ci,M,1995-08-17,Abidjan,DEP02,Commercial Junior,Bac+2,CDI,2015-03-10,677000,Inactif,2019-05-24,Retraite
EMP0049,Yao,Traore,yao.traore49@telcomci.ci,M,1995-03-03,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2023-10-11,834000,Actif,,
EMP0050,Moussa,Kouassi,moussa.kouassi50@telcomci.ci,M,2012-12-05,Abidjan,DEP02,Commercial Junior,Bac+4,CDI,2016-08-13,694000,Actif,,
EMP0051,Adama,Sow,moussa.kouassi50@telcomci.ci,M,1995-12-08,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2023-04-03,660000,Actif,,
EMP0052,Jean,Kone,jean.kone52@telcomci.ci,M,1984-08-03,San Pedro,DEP02,Commercial Junior,Bac+4,CDD,2023-03-31,827000,Actif,,
EMP0053,Fatoumata,Kouassi,fatoumata.kouassi53@telcomci.ci,F,2000-09-06,Bouake,DEP02,Commercial Junior,Bac+3,CDI,2020-08-06,813000,Actif,,
EMP0054,Adjoua,Cisse,adjoua.cisse54@telcomci.ci,F,2002-06-06,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2019-08-02,742000,Actif,,
EMP0055,Yao,Ouattara,yao.ouattara55@telcomci.ci,M,1994-02-07,Abidjan,DEP02,Commercial Junior,Bac+4,CDI,2018-11-12,731000,Actif,,
EMP0056,Jean,Camara,jean.camara56@telcomci.ci,M,1984-05-30,Abidjan,DEP02,Commercial Junior,Bac+2,CDD,2018-04-07,723000,Actif,,
EMP0057,Aida,Ouattara,aida.ouattara57@telcomci.ci,F,1994-03-23,San Pedro,DEP02,Commercial Junior,Bac+2,CDI,2022-08-13,711000,Actif,,
EMP0058,Bintou,Ndoye,bintou.ndoye58@telcomci.ci,F,1977-11-24,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2020-10-25,757000,Actif,,
EMP0059,Eric,Ndoye,eric.ndoye59@telcomci.ci,M,2002-10-10,San Pedro,DEP02,Commercial Junior,Bac+3,CDI,2020-04-29,831000,Actif,,
EMP0060,Aminata,Cisse,aminata.cisse60@telcomci.ci,F,2003-12-01,Abidjan,DEP02,Commercial Junior,Bac,Interim,2015-11-06,657000,Actif,,
EMP0061,Fatoumata,Cisse,fatoumata.cisse61@telcomci.ci,F,1998-09-24,Korhogo,DEP02,Commercial Junior,Bac,CDI,2018-08-17,814000,Actif,,
EMP0062,Adama,Bamba,adama.bamba62@telcomci.ci,M,1981-09-14,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2017-04-05,659000,Actif,,
EMP0063,Thierry,Traore,thierry.traore63@telcomci.ci,M,1993-08-17,Korhogo,DEP02,Commercial Junior,Bac+2,CDI,2019-03-30,755000,Actif,,
EMP0064,Jean,Bamba,jean.bamba64@telcomci.ci,M,2003-10-30,Abidjan,DEP02,Commercial Junior,Bac+3,CDI,2019-05-22,847000,Inactif,2023-05-18,Demission
EMP0065,Yao,Kouassi,yao.kouassi65@telcomci.ci,M,2005-12-14,Abidjan,DEP02,Commercial Junior,Bac+2,CDD,2023-03-20,789000,Actif,,
EMP0066,Luc,Kone,luc.kone66@telcomci.ci,M,1987-07-07,Abidjan,DEP02,Commercial Junior,Bac,CDI,2021-10-18,719000,Actif,,
EMP0067,Clarisse,Ndoye,clarisse.ndoye67@telcomci.ci,F,1992-07-03,Abidjan,DEP02,Commercial Junior,Bac+3,CDD,2019-12-13,724000,Actif,,
EMP0068,Adjoua,Ndoye,adjoua.ndoye68@telcomci.ci,F,2001-01-22,San Pedro,DEP02,Commercial Junior,Bac+5,CDI,2023-05-07,745000,Actif,,
EMP0069,Fatoumata,Cisse,fatoumata.cisse69@telcomci.ci,F,1979-09-26,Abidjan,DEP02,Commercial Junior,Bac+5,CDI,2018-10-11,829000,Actif,,
EMP0070,Clarisse,Cisse,clarisse.cisse70@telcomci.ci,F,2003-11-19,Bouake,DEP02,Commercial Junior,Bac+4,CDI,2020-03-30,640000,Actif,,
EMP0071,Adama,Ouattara,adama.ouattara71@telcomci.ci,M,1992-09-05,Abidjan,DEP02,Commercial Junior,Bac+2,CDI,2017-10-23,705000,Actif,,
EMP0072,Marie,Kouassi,marie.kouassi72@telcomci.ci,F,2006-02-05,Bouake,DEP02,Commercial Junior,Bac+5,CDI,2015-12-27,835000,Actif,,
EMP0073,Sophie,Kouassi,sophie.kouassi73@telcomci.ci,F,2010-11-09,Daloa,DEP02,Televendeur,Bac+5,CDI,2015-03-20,543000,Inactif,2021-06-12,Licenciement
EMP0074,Adama,Ndoye,adama.ndoye74@telcomci.ci,M,1975-08-01,Korhogo,DEP02,Televendeur,Bac+4,CDI,2017-02-23,563000,Actif,,
EMP0075,Kouassi,Ouattara,kouassi.ouattara75@telcomci.ci,M,1975-03-21,San Pedro,DEP02,Televendeur,Bac+2,Interim,2015-01-18,450000,Actif,,
EMP0076,Sophie,Sow,sophie.sow76@telcomci.ci,F,2013-09-13,Korhogo,DEP02,Televendeur,Bac+5,CDI,2017-02-15,451000,Actif,,
EMP0077,Aminata,Diallo,aminata.diallo77@telcomci.ci,F,2008-06-30,Abidjan,DEP02,Televendeur,Bac+5,CDI,2022-04-23,448000,Actif,,
EMP0078,Sophie,Bamba,sophie.bamba78@telcomci.ci,F,1992-12-09,Abidjan,DEP02,Televendeur,Bac+2,CDI,2019-07-01,540000,Actif,,
EMP0079,Moussa,Kone,moussa.kone79@telcomci.ci,M,1985-10-28,Abidjan,DEP02,Televendeur,Bac+3,CDI,2015-02-21,553000,Actif,,
EMP0080,Moussa,Ouattara,moussa.ouattara80@telcomci.ci,M,1993-05-06,Abidjan,DEP02,Televendeur,Bac+4,CDI,2015-06-27,449000,Actif,,
EMP0081,Jean,Diallo,jean.diallo81@telcomci.ci,M,1982-05-03,Abidjan,DEP02,Televendeur,Bac+2,CDI,2021-11-12,595000,Actif,,
EMP0082,Luc,Diallo,luc.diallo82@telcomci.ci,M,1996-08-20,Abidjan,DEP02,Televendeur,Bac+4,CDI,2020-09-03,465000,Actif,,
EMP0083,Awa,Kouassi,awa.kouassi83@telcomci.ci,F,2000-12-13,Abidjan,DEP02,Televendeur,Bac+3,CDI,2017-04-18,589000,Actif,,
EMP0084,Ibrahim,Cisse,ibrahim.cisse84@telcomci.ci,M,2012-11-20,Abidjan,DEP02,Televendeur,Bac+5,CDI,2018-08-08,461000,Actif,,
EMP0085,Luc,Ndoye,luc.ndoye85@telcomci.ci,M,1999-06-04,Abidjan,DEP02,Televendeur,Bac+4,CDD,2022-01-01,541000,Actif,,
EMP0086,Ibrahim,Bamba,ibrahim.bamba86@telcomci.ci,M,1994-01-29,Abidjan,DEP02,Televendeur,Bac+5,CDI,2016-12-09,491000,Inactif,2019-06-29,Retraite
EMP0087,Adama,Ouattara,adama.ouattara87@telcomci.ci,M,1997-08-13,Abidjan,DEP02,Televendeur,Bac+3,CDI,2018-02-16,552000,Actif,,
EMP0088,Aida,Toure,aida.toure88@telcomci.ci,F,1996-03-04,Abidjan,DEP02,Televendeur,Bac+3,CDI,2017-10-26,528000,Actif,,
EMP0089,Adama,Toure,adama.toure89@telcomci.ci,M,2004-06-12,Daloa,DEP02,Televendeur,Bac+3,CDI,2022-03-16,580000,Actif,,
EMP0090,Clarisse,Camara,clarisse.camara90@telcomci.ci,F,1990-05-07,Abidjan,DEP02,Televendeur,Bac+5,CDI,2019-08-22,491000,Actif,,
EMP0091,Thierry,Cisse,thierry.cisse91@telcomci.ci,M,2008-08-28,Abidjan,DEP02,Televendeur,Bac+4,CDI,2022-09-28,451000,Actif,,
EMP0092,Paul,Sow,paul.sow92@telcomci.ci,M,2003-03-25,Daloa,DEP02,Televendeur,Bac+4,CDI,2016-07-17,558000,Inactif,2020-03-21,Mutation
EMP0093,Adama,Sow,adama.sow93@telcomci.ci,M,1999-01-07,Abidjan,DEP02,Televendeur,Bac,CDI,2017-02-18,461000,Actif,,
EMP0094,Fatoumata,Toure,fatoumata.toure94@telcomci.ci,F,1980-10-04,Abidjan,DEP02,Televendeur,Bac+2,CDI,2023-11-16,491000,Actif,,
EMP0095,Marie,Diallo,marie.diallo95@telcomci.ci,F,1975-06-06,Abidjan,DEP02,Televendeur,Bac+5,CDI,2017-12-22,475000,Actif,,
EMP0096,Sophie,Kone,sophie.kone96@telcomci.ci,F,1983-01-06,Bouake,DEP02,Televendeur,Bac+2,Interim,2016-06-24,596000,Actif,,
EMP0097,Kofi,Ndoye,kofi.ndoye97@telcomci.ci,M,2005-03-11,Abidjan,DEP02,Televendeur,Bac+4,CDI,2019-06-26,503000,Inactif,2021-12-05,Mutation
EMP0098,Moussa,Ouattara,moussa.ouattara98@telcomci.ci,M,2012-08-08,Abidjan,DEP02,Televendeur,Bac+3,CDI,2019-03-09,470000,Actif,,
EMP0099,Moussa,Kone,moussa.kone99@telcomci.ci,M,1994-08-05,Abidjan,DEP02,Televendeur,Bac+5,CDI,2016-09-24,533000,Actif,,
EMP0100,Fatoumata,Cisse,fatoumata.cisse100@telcomci.ci,F,1991-04-06,Abidjan,DEP02,Televendeur,Bac+2,CDI,2017-03-04,541000,Actif,,
EMP0101,Kouassi,Toure,kouassi.toure101@telcomci.ci,M,1989-08-27,Korhogo,DEP03,Directeur Technique,Bac+2,CDI,2021-06-18,2934000,Actif,,
EMP0102,Fatoumata,Kone,fatoumata.kone102@telcomci.ci,F,1992-03-22,Korhogo,DEP03,Ingenieur Reseau Senior,Bac+4,CDI,2019-04-21,2156000,Actif,,
EMP0103,Sophie,Diallo,sophie.diallo103@telcomci.ci,F,1988-08-12,Abidjan,DEP03,Ingenieur Reseau Senior,Bac+5,CDI,2018-06-05,1949000,Actif,,
EMP0104,Awa,Toure,awa.toure104@telcomci.ci,F,1975-05-05,Abidjan,DEP03,Ingenieur Reseau Senior,Bac+4,CDI,2018-07-21,2027000,Actif,,
EMP0105,Eric,Cisse,eric.cisse105@telcomci.ci,M,2012-01-27,Abidjan,DEP03,Ingenieur Reseau Senior,Bac+3,CDI,2020-06-02,1920000,Actif,,
EMP0106,Luc,Toure,luc.toure106@telcomci.ci,M,2003-07-09,San Pedro,DEP03,Ingenieur Reseau Senior,Bac+2,CDI,2015-01-24,2069000,Actif,,
EMP0107,Adama,Kouassi,adama.kouassi107@telcomci.ci,M,2005-06-08,Abidjan,DEP03,Ingenieur Reseau Senior,Bac,CDI,2023-10-12,2186000,Actif,,
EMP0108,Laure,Ouattara,laure.ouattara108@telcomci.ci,F,2007-05-07,Abidjan,DEP03,Ingenieur Reseau Senior,Bac+3,CDI,2021-12-21,1724000,Actif,,
EMP0109,Bintou,Toure,bintou.toure109@telcomci.ci,F,2013-10-07,Bouake,DEP03,Ingenieur Reseau Senior,Bac+3,Interim,2018-09-19,2233000,Actif,,
EMP0110,Luc,Camara,luc.camara110@telcomci.ci,M,2013-07-03,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+2,Interim,2021-09-07,976000,Inactif,2023-04-09,Licenciement
EMP0111,Moussa,Diallo,moussa.diallo111@telcomci.ci,M,2014-02-02,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDI,2017-11-25,1071000,Actif,,
EMP0112,Fatoumata,Cisse,fatoumata.cisse112@telcomci.ci,F,1984-07-12,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDI,2019-12-14,1240000,Actif,,
EMP0113,Yao,Traore,yao.traore113@telcomci.ci,M,1979-05-15,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+2,CDI,2018-04-16,1158000,Actif,,
EMP0114,Aida,Camara,aida.camara114@telcomci.ci,F,1979-01-27,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDD,2022-09-18,1199000,Inactif,2024-03-24,Fin CDD
EMP0115,Luc,Kone,luc.kone115@telcomci.ci,M,1991-01-16,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+2,CDI,2023-06-26,1159000,Inactif,2024-02-27,Licenciement
EMP0116,Thierry,Cisse,thierry.cisse116@telcomci.ci,M,2006-03-01,Daloa,DEP03,Ingenieur Reseau Junior,Bac,CDI,2020-12-26,1216000,Actif,,
EMP0117,Thierry,Diallo,thierry.diallo117@telcomci.ci,M,1990-11-13,Daloa,DEP03,Ingenieur Reseau Junior,Bac+5,CDI,2019-01-01,1026000,Actif,,
EMP0118,Kouassi,Camara,kouassi.camara118@telcomci.ci,M,1996-04-30,San Pedro,DEP03,Ingenieur Reseau Junior,Bac+3,CDI,2015-10-04,1172000,Actif,,
EMP0119,Paul,Diallo,paul.diallo119@telcomci.ci,M,1980-06-20,Daloa,DEP03,Ingenieur Reseau Junior,Bac+3,CDI,2019-10-06,1125000,Actif,,
EMP0120,Moussa,Toure,moussa.toure120@telcomci.ci,M,1988-10-02,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDI,2020-04-22,1237000,Actif,,
EMP0121,Moussa,Ndoye,moussa.ndoye121@telcomci.ci,M,1983-01-27,San Pedro,DEP03,Ingenieur Reseau Junior,Bac+3,CDD,2018-02-16,941000,Actif,,
EMP0122,Luc,Kouassi,luc.kouassi122@telcomci.ci,M,1995-02-10,Abidjan,DEP03,Ingenieur Reseau Junior,Bac,CDI,2018-01-22,1252000,Actif,,
EMP0123,Aida,Kouassi,aida.kouassi123@telcomci.ci,F,1984-05-25,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+3,Interim,2018-06-11,1042000,Actif,,
EMP0124,Eric,Sow,eric.sow124@telcomci.ci,M,2009-02-28,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+4,CDI,2021-08-13,1151000,Actif,,
EMP0125,Moussa,Diallo,moussa.diallo125@telcomci.ci,M,2009-12-12,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+2,CDI,2018-02-03,1028000,Actif,,
EMP0126,Luc,Ndoye,luc.ndoye126@telcomci.ci,M,1998-07-18,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+4,CDD,2021-12-27,1092000,Actif,,
EMP0127,Fatoumata,Kone,fatoumata.kone127@telcomci.ci,F,2006-06-25,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDI,2017-05-19,996000,Actif,,
EMP0128,Awa,Kone,awa.kone128@telcomci.ci,F,1980-08-01,Abidjan,DEP03,Ingenieur Reseau Junior,Bac,Interim,2020-10-26,1104000,Actif,,
EMP0129,Jean,Toure,jean.toure129@telcomci.ci,M,1993-03-11,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+3,CDI,2017-08-14,1016000,Inactif,2018-05-14,Mutation
EMP0130,Ibrahim,Camara,ibrahim.camara130@telcomci.ci,M,2006-01-29,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+2,CDI,2017-10-14,972000,Actif,,
EMP0131,Luc,Sow,luc.sow131@telcomci.ci,M,1987-01-28,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDI,2023-09-17,1065000,Actif,,
EMP0132,Marie,Camara,marie.camara132@telcomci.ci,F,1985-12-26,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDI,2015-12-31,935000,Actif,,
EMP0133,Kouassi,Kouassi,kouassi.kouassi133@telcomci.ci,M,2006-03-15,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+4,CDI,2019-11-30,1213000,Actif,,
EMP0134,Yao,Kone,yao.kone134@telcomci.ci,M,2004-09-26,Abidjan,DEP03,Ingenieur Reseau Junior,Bac+5,CDD,2017-02-28,1160000,Actif,,
EMP0135,Yao,Bamba,yao.bamba135@telcomci.ci,M,1993-06-02,Abidjan,DEP03,Technicien Senior,Bac+5,CDI,2019-05-30,830000,Actif,,
EMP0136,Bintou,Bamba,bintou.bamba136@telcomci.ci,F,2007-08-22,Abidjan,DEP03,Technicien Senior,Bac+5,CDI,2016-03-25,665000,Actif,,
EMP0137,Aida,Ndoye,aida.ndoye137@telcomci.ci,F,1984-08-28,Abidjan,DEP03,Technicien Senior,Bac+2,CDI,2019-03-29,796000,Actif,,
EMP0138,Bintou,Kouassi,bintou.kouassi138@telcomci.ci,F,2010-11-04,Bouake,DEP03,Technicien Senior,Bac,CDD,2015-01-16,808000,Actif,,
EMP0139,Moussa,Bamba,moussa.bamba139@telcomci.ci,M,2011-09-23,Korhogo,DEP03,Technicien Senior,Bac,CDI,2017-03-20,769000,Actif,,
EMP0140,Marie,Kone,marie.kone140@telcomci.ci,F,1979-07-08,Abidjan,DEP03,Technicien Senior,Bac+4,CDI,2018-03-23,738000,Actif,,
EMP0141,Kofi,Ndoye,kofi.ndoye141@telcomci.ci,M,1988-11-06,Abidjan,DEP03,Technicien Senior,Bac+5,CDI,2020-08-31,681000,Inactif,2022-03-02,Licenciement
EMP0142,Aminata,Traore,aminata.traore142@telcomci.ci,F,2008-01-06,Abidjan,DEP03,Technicien Senior,Bac+5,CDD,2016-06-22,829000,Actif,,
EMP0143,Kouassi,Kone,kouassi.kone143@telcomci.ci,M,1980-01-14,Abidjan,DEP03,Technicien Senior,Bac+5,CDI,2017-02-08,697000,Actif,,
EMP0144,Laure,Sow,laure.sow144@telcomci.ci,F,1998-02-05,Abidjan,DEP03,Technicien Senior,Bac+4,CDI,2019-07-10,664000,Inactif,2022-05-27,Mutation
EMP0145,Awa,Ndoye,awa.ndoye145@telcomci.ci,F,2010-03-11,Abidjan,DEP03,Technicien Senior,Bac+4,CDI,2015-10-24,788000,Actif,,
EMP0146,Ibrahim,Kone,ibrahim.kone146@telcomci.ci,M,2014-01-15,Bouake,DEP03,Technicien Senior,Bac+5,CDI,2015-06-14,732000,Actif,,
EMP0147,Adama,Diallo,adama.diallo147@telcomci.ci,M,1984-03-30,Abidjan,DEP03,Technicien Senior,Bac+3,CDI,2016-05-23,867000,Actif,,
EMP0148,Ibrahim,Diallo,ibrahim.diallo148@telcomci.ci,M,2005-07-03,Abidjan,DEP03,Technicien Senior,Bac+4,CDI,2019-12-08,822000,Actif,,
EMP0149,Laure,Diallo,laure.diallo149@telcomci.ci,F,2006-10-27,Abidjan,DEP03,Technicien Senior,Bac+3,CDI,2016-05-02,783000,Inactif,2019-12-22,Demission
EMP0150,Thierry,Toure,thierry.toure150@telcomci.ci,M,1981-05-25,Abidjan,DEP03,Technicien Senior,Bac+3,CDI,2018-08-21,871000,Actif,,
EMP0151,Aida,Diallo,aida.diallo151@telcomci.ci,F,1982-02-18,San Pedro,DEP03,Technicien Senior,Bac,CDI,2017-05-14,710000,Actif,,
EMP0152,Kofi,Toure,kofi.toure152@telcomci.ci,M,2000-10-25,Abidjan,DEP03,Technicien Senior,Bac+4,CDI,2016-11-21,835000,Actif,,
EMP0153,Laure,Ouattara,laure.ouattara153@telcomci.ci,F,2004-03-23,Abidjan,DEP03,Technicien Senior,Bac+5,CDI,2020-10-26,846000,Actif,,
EMP0154,Aminata,Ouattara,aminata.ouattara154@telcomci.ci,F,1992-03-24,Abidjan,DEP03,Technicien Senior,Bac+3,CDI,2023-01-22,850000,Inactif,2023-07-21,Fin CDD
EMP0155,Fatoumata,Camara,fatoumata.camara155@telcomci.ci,F,1990-01-28,Abidjan,DEP03,Technicien Senior,Bac+4,CDI,2023-10-23,831000,Actif,,
